ID	Nursery	latin_name	cultivar	cost	size	date	quantity	notes
0	East Saanich on peninsula by the water	Lomatium nudicaule				2012-03-01		
1	Lochside	Hydrangea ~assortedvarieties	0	0	#5	2013-06-22		
2	Lochside	Hydrangea arborescen	'Annabelle'	0	#2	2013-06-22		
3	Lochside	Pieris assorted	0	0	#2	2013-06-22		
4	Lochside	Pieris assorted	0	0	#1	2013-06-22		
5	Lochside	Pieris assorted	0	0	#2	2013-06-22		
6	Lochside	Fuchsia assorted	0	0	0	2013-06-22		
7	Diane Pierce	Tragopogon porrifolius				2014-03-22		
8	Lochside	Iris germa	'Loop de Loop'	0	0	2013-06-22		
9	Lochside	Cistus GreyswoodPink,Elna,PeggySammons,Sunset,	0	0	#2 	2013-06-22		
10	Lochside	Pieris jap.F	'Forest Flame'	0	#5	2013-06-22		
11	Lochside	Pieris jap.F	'Forest Flame'	0	#1	2013-06-22		
12	Lochside	Pieris jap.F	'Forest Flame'	0	#1	2013-06-22		
13	Lochside	Pieris jap.F	'Forest Flame'	0	#2	2013-06-22		
14	Lochside	Pieris jap.L	'Little Heath'	0	#3	2013-06-22	0	
15	Lochside	Pieris jap.M	'Mountain Fire'	0	#2	2013-06-22		
16	Lochside	Pieris jap.M	'Mountain Fire'	0	#1	2013-06-22		
17	Lochside	Pieris jap.M	'Mountain Fire'	0	#1	2013-06-22		
18	Lochside	Pieris jap.P	'Prelude'	0	#2	2013-06-22		
19	Lochside	Pieris jap.S	'Scarlett O'Hara'	0	#3	2013-06-22		
20	Lochside	Pieris jap.S	'Snowdrift'	0	#1	2013-06-22		
21	Lochside	Pieris jap.S	'Snowdrift'	0	#2	2013-06-22	0	
22	Lochside	Pieris jap.S	'Snowdrift'	0	#3 	2013-06-22		
23	Lochside	Pieris jap.T	'Temple Bells' (White Flowers)	0	#1 	2013-06-22		
24	Lochside	Pieris jap.T	'Temple Bells' (White Flowers)	0	#2 	2013-06-22		
25	Lochside	Pieris jap.V	'Valley Fire'	0	#1 	2013-06-22		
26	Lochside	Pieris jap.V	'Valley Rose' (pink flowers)	0	#2 	2013-06-22		
27	Lochside	Styrax japonica	0	0	0	2013-06-22		
28	Lochside	Hydrangea macrophyll	'Adria'	0	#1	2013-06-22		
29	Lochside	Hydrangea macrophyll	'Ayesha'	0	#2	2013-06-22		
30	Lochside	Hydrangea macrophyll	'Ayesha'	0	#1	2013-06-22		
31	Lochside	Hydrangea macrophyll	'Beni Gaku'	0	#2	2013-06-22		
32	Lochside	Hydrangea macrophyll	'Beni Gaku'	0	#1	2013-06-22		
33	Lochside	Hydrangea macrophyll	'Merrit's Supreme'	0	#3	2013-06-22		
