latin_name	Provincial_Regional_Invasive_NotListed_
Abutilon theophrasti	P
Acroptilon repens	R
Aegilops cylindrica	Species not known to occur in the region, but likely to establish if introduced. Eradicate if found. 
Aegopodium podagraria	Established infestations common and widespread throughout the Capital Region. Focus control in high value conservation areas. 
Ailanthus altissima	Established infestations found in portions of the region. Contain existing infestations and prevent spread to un - infested areas.
Alliaria petiolata	Priority species known to occur in limited distribution and l ow density. Eradicate if found.
Allium vineale	Established infestations common and widespread throughout the Capital Region. Focus control in high value conservation areas. 
Amaranthus retroflexus	I
Ammophila arenaria 	Established infestations found in portions of the region. Contain existing infestations and prevent spread to un - infested areas.
Ammophila breviligulata	Species not known to occur in the region, but likely to establish if introduced. Eradicate if found. 
Anthoxanthum odoratum	Established infestations common and widespread throughout the Capital Region. Focus control in high value conservation areas. 
Anthriscus caucalis 	Established infestations common and widespread throughout the Capital Region. Focus control in high value conservation areas. 
Anthriscus sylvestris	R
Arctium lappa	R
Arctium minus	R
Arundo donax	Priority species known to occur in limited distribution and l ow density. Eradicate if found.
Asclepias speciosa	I
Avena fatua	P
Berteroa incana	Species not known to occur in the region, but likely to establish if introduced. Eradicate if found. 
Bidens cernua	I
Brassica kaber	R
Buddleja davidii	Established infestations found in portions of the region. Contain existing infestations and prevent spread to un - infested areas.
Butomus umbellatus	Species not known to occur in the region, but likely to establish if introduced. Eradicate if found. 
Capsella bursa-pastoris	I
Cardaria draba	R
Cardaria drabassp.chalapensis	R
Cardaria drabassp.draba	R
Cardaria pubescens	R
Carduus acanthoides	R
Carduus nutans	I
Carduus nutans ssp.leiophyllus	I
Centaurea biebersteinii	P
Centaurea cyanus	Established infestations common and widespread throughout the Capital Region. Focus control in high value conservation areas. 
Centaurea debeauxii	R
Centaurea diffusa	Established infestations found in portions of the region. Contain existing infestations and prevent spread to un - infested areas.
Centaurea militensis	Priority species known to occur in limited distribution and l ow density. Eradicate if found.
Centaurea nigra	Established infestations found in portions of the region. Contain existing infestations and prevent spread to un - infested areas.
Centaurea solstitialis	Species not known to occur in the region, but likely to establish if introduced. Eradicate if found. 
Centaurea stoebe	Priority species known to occur in limited distribution and l ow density. Eradicate if found.
Chenopodium album	I
Chenopodium albumssp. striatum	I
Chenopodium albumssp.album	I
Cichorium intybus	I
Cicuta douglasii	I
Cirsium arvense	Established infestations common and widespread throughout the Capital Region. Focus control in high value conservation areas. 
Cirsium arvensevar.horridum	P
Cirsium vulgare	Established infestations common and widespread throughout the Capital Region. Focus control in high value conservation areas. 
Clematis vitalba	Established infestations common and widespread throughout the Capital Region. Focus control in high value conservation areas. 
Conium maculatum	Established infestations common and widespread throughout the Capital Region. Focus control in high value conservation areas. 
Convolvulus arvensis	I
Cotoneaster horizantalis	Established infestations common and widespread throughout the Capital Region. Focus control in high value conservation areas. 
Crataegus laevigata	Established infestations common and widespread throughout the Capital Region. Focus control in high value conservation areas. 
Crataegus monogyna	Established infestations common and widespread throughout the Capital Region. Focus control in high value conservation areas. 
Crataegus x ambigua	Established infestations common and widespread throughout the Capital Region. Focus control in high value conservation areas. 
