id	Plot	Nursery
0	6411 midden	Plants of Coastal British Columbia
1	6411 North side	Bullocks
2	6411 North side	CRD
3	Lot 47	Natural Resource Native Plant Nursery
4	Lot 47	Plants of Coastal British Columbia
5	Lot 47	saanichnativeplants
6	seeds for 2020	Bullocks
7	seeds for 2020	CRD
8	seeds for 2020	Diane Pierce
9	seeds for 2020	Dino's
10	seeds for 2020	Dinters
11	seeds for 2020	DownToEarth
12	seeds for 2020	Ecosense
13	seeds for 2020	Everything Edible
14	seeds for 2020	Food plants of BC
15	seeds for 2020	Fruit Trees and More
16	seeds for 2020	Full Circle Seeds
17	seeds for 2020	Geoff Johnson
18	seeds for 2020	HCP PlantID
19	seeds for 2020	LeCoteau
20	seeds for 2020	Lochside
21	seeds for 2020	Natural Resource Native Plant Nursery
22	seeds for 2020	Oliver Kellhammer
23	seeds for 2020	Plants of Coastal British Columbia
24	seeds for 2020	Purposeful Plants
25	seeds for 2020	Richters
26	seeds for 2020	Russellnursery
27	seeds for 2020	Sooke
28	seeds for 2020	Sooke harbour house
29	seeds for 2020	Springridge Commons
30	seeds for 2020	Tree Eater Nursery
31	seeds for 2020	USDA Palable to Human in BC'.B1
32	seeds for 2020	Victoria bamboo
33	seeds for 2020	West Coast Seeds
34	seeds for 2020	everything edible
35	seeds for 2020	full Circle Seeds
36	seeds for 2020	full circle seeds
37	seeds for 2020	saanichnativeplants
38	seeds for 2020	Diane Pierce
39	6411 North side	CRD
40	6411 North side	Dino's
41	6411 North side	Dinters
42	6411 North side	DownToEarth
43	6411 North side	East Saanich on peninsula by the water
44	6411 North side	Ecosense
45	6411 North side	Everything Edible
46	6411 North side	Food plants of BC
47	6411 North side	Fruit Trees and More
48	6411 North side	Full Circle Seeds
49	6411 North side	Geoff Johnson
50	6411 North side	HCP PlantID
51	6411 North side	LeCoteau
52	6411 North side	Lochside
53	6411 North side	Natural Resource Native Plant Nursery
54	6411 North side	Oliver Kellhammer
55	6411 North side	Plants of Coastal British Columbia
56	6411 North side	Purposeful Plants
57	6411 North side	Richters
58	6411 North side	Russellnursery
59	6411 North side	Sooke
