id	Latin_Name	name	Cultivar	Seed_viability_years_min	Seed_viability_years_max	Number_of_seeds_per_g	Germination_time__days__min__Short__Long__Extra_Long	Germination_time__days__max__Short__Long__Extra_Long	aprox_seeds_per_pack	aprox_mL_seeds
0	Echinacea purpurea					10	20			
1	Abelmoschus esculentus	Okra, Abelmoschus		1	3	300	0			
2	Achillea millefolium	Achillea millefolium		4	4	0	0			
3	Actinidia deliciosa	Actinidia deliciosa		0	0	30	0			
4	Agastache foeniculum	Agastache foeniculum		3	3	0	0			
5	Allium schoenoprasum	Allium schoenoprasum		2	2	200	0			
6	Anethum graveolens	Anethum graveolens		5	5	0	0			
7	Anthriscus cerefolium	Anthriscus cerefolium		4	4	56	0			
8	Apium graveolens rapaceum	Celleryac		2	2	0	0			
9	Araucaria araucana	Araucaria araucana		21	32	0	0			
10	Asimina triloba	Asimina triloba		0	0	32	0			
11	Basella rubra	Basella rubra		3	3	0	0			
12	Calendula officinalis	Calendula officinalis		5	5	0	0			
13	Capsella bursa-pastoris	Capsella		1	1	300	0			
14	Capsicum frutescens	Capsicum hot peppers	Capsicum hot peppers	3	3	24	0			
15	Castanea dentata	Castanea dentata		21	32	0	0			
16	Castanea mollissima	Castanea mollissima		21	32	0	0			
17	Castanea sativa	Castanea sativa		21	32	0	0			
18	Cichorium endiva	Cichorium endive		4	4	306	0			
19	Cichorium intybus	Cicoria cicoria		0	0	700	0			
20	Coriandrum sativum	Coriandum sativum		2	2	100	0			
21	Cornus kousa	Cornus kousa		0	0	19	0			
22	Foeniculum vulgare	Asteraceae fennel		3	3	0	0			
23	Gleditsia triacanthos	Gleditsia triacanthos		0	0	7	0			
24	Levisticum officinale	Levisticum officinale		1	3	50	0			
25	Malus fusca	Malus fusca		0	0	30	0			
26	Melissa officinalis	Melissa officinalis		4	4	0	0			
27	Mentha species	Mentha 0		2	2	2000	0			
28	Mentha spicata	Mentha spicata		3	3	0	0			
29	Mentha x piperita vulgaris	Mentha piperita		2	2	0	0			
30	Origanum vulgare hirtum	Oreganum heracleoticum		4	4	0	0			
31	Physalis philadelphica	Physalis philadelphica		2	200	48	0			
32	Portulaca oleracea	Portulaca oleraceae		2	2	0	0			
33	Prunus americana	Prunus americanavar. nigra	var. nigra	0	0	2	0			
