ID			Accepted Symbol			Synonym Symbol			Symbol		Scientific Name		Common Name		Genus		Family		Duration		Growth Habit		Native Status		Active Growth Period		After Harvest Regrowth Rate		Bloat		C:N Ratio		Coppice Potential		Fall Conspicuous		Fire Resistance		Flower Color		Flower Conspicuous		Foliage Color		Foliage Porosity Summer		Foliage Porosity Winter		Foliage Texture		Fruit Color		Fruit Conspicuous		Growth Form		Growth Rate		Height at Base Age, Maximum (feet)		Height, Mature (feet)		Known Allelopath		Leaf Retention		Lifespan		Low Growing Grass		Nitrogen Fixation		Resprout Ability		Shape and Orientation		Toxicity		Adapted to Coarse Textured Soils		Adapted to Medium Textured Soils		Adapted to Fine Textured Soils		Anaerobic Tolerance		CaCO<SUB>3</SUB> Tolerance		Cold Stratification Required		Drought Tolerance		Fertility Requirement	Fire Tolerance	Frost Free Days, Minimum	Hedge Tolerance	Moisture Use	pH (Minimum)	pH (Maximum)	Planting Density per Acre, Minimum	Planting Density per Acre, Maximum	Precipitation (Minimum)	Precipitation (Maximum)	Root Depth, Minimum (inches)	Salinity Tolerance	Shade Tolerance	Temperature, Minimum (°F)	Bloom Period	Commercial Availability	Fruit/Seed Abundance	Fruit/Seed Period Begin	Fruit/Seed Period End	Fruit/Seed Persistence	Propogated by Bare Root	Propogated by Bulbs	Propogated by Container	Propogated by Corms	Propogated by Cuttings	Propogated by Seed	Propogated by Sod	Propogated by Sprigs	Propogated by Tubers	Seeds per Pound	Seed Spread Rate	Seedling Vigor	Small Grain	Vegetative Spread Rate	Berry/Nut/Seed Product	Christmas Tree Product	Fodder Product	Fuelwood Product	Lumber Product	Naval Store Product	Nursery Stock Product	Palatable Browse Animal	Palatable Graze Animal	Palatable Human	Post Product	Protein Potential	Pulpwood Product	Veneer Product
1			ACMA3						ACMA3		Acer macrophyllum		bigleaf maple		Acer		Aceraceae		Perennial		Tree		L48 (N), CAN (N)		Spring and Summer				None		High		Yes		Yes		No		Yellow		No		Green		Dense		Porous		Medium		Brown		No		Single Stem		Rapid		30		60		No		No		Moderate		No		None		Yes		Erect		None		Yes		Yes		Yes		Medium		Low		Yes		Low		Medium	High	140	None	Medium	4.8	7.2	300	700	22	260	24	None	Intermediate	-14	Mid Spring	Contracting Only	High	Summer	Fall	Yes	Yes	No	Yes	No	Yes	Yes	No	No	No	3120	Moderate	High	No	None	No	No	No	Medium	Yes	No	Yes	High	Low	Yes	No		No	Yes
2			ACNE2						ACNE2		Acer negundo		boxelder		Acer		Aceraceae		Perennial		Tree		L48 (N), CAN (N)		Spring and Summer				None		High		Yes		Yes		No		White		No		Green		Dense		Porous		Coarse		Brown		Yes		Multiple Stem		Rapid		35		60		No		No		Short		No		None		Yes		Erect		None		Yes		Yes		Yes		Medium		High		Yes		High		Medium	Low	100	None	Medium	5	7.8	300	1200	15	75	40	Medium	Tolerant	-46	Early Spring	Routinely Available	High	Summer	Fall	No	Yes	No	Yes	No	Yes	Yes	No	No	No	11360	Slow	Low	No	Slow	No	No	No	Low	No	No	Yes	Low	Low	Yes	No	Low	Yes	No
3			ALAC4						ALAC4		Acer macrophyllum		tapertip onion		Allium		Liliaceae		Perennial		Forb/herb		L48 (N), CAN (N)		Spring and Summer		Rapid		None		Low		No		No		Yes		Purple		Yes		Green		Porous		Porous		Fine		Black		No		Multiple Stem		Rapid				1		No		No		Short		No		None		No		Erect		None		Yes		Yes		No		None		High		Yes		Medium		Low	High	120	High	Low	6	8	4800	11000	10	60	6	None	Intolerant	-28	Summer	Contracting Only	High	Summer	Fall	No	No	Yes	Yes	No	No	Yes	No	No	No	253691	Rapid	Medium	No	None	No	No	No		No	No	No	High	High	Yes	No	Medium	No	No
4			ALAC4			ALACC			ALACC		Allium acuminatum var. cuspidatum				Allium																																																																																																																														
5			ALVA						ALVA		Allium validum		Pacific onion		Allium		Liliaceae		Perennial		Forb/herb		L48 (N), CAN (N)		Summer		Slow		None		High		No		No		No		Purple		Yes		Green		Porous		Porous		Medium		Brown		Yes		Multiple Stem		Moderate				2		No		No		Short		No		None		No		Erect		None		No		Yes		Yes		High		Medium		No		Low		Medium	High	130	None	High	6.2	8	4800	11000	12	40	8	None	Intermediate	-18	Late Spring	Contracting Only	Low	Summer	Summer	No	No	Yes	No	No	No	Yes	No	No	No		Slow	Low	No	Slow	No	No	No		No	No	No			Yes	No		No	No
6			AMAL2						AMAL2		Amelanchier alnifolia		Saskatoon serviceberry		Amelanchier		Rosaceae		Perennial		Tree, Shrub		L48 (N), AK (N), CAN (N)		Spring and Summer				None		Medium		No		No		No		White		Yes		Green		Dense		Porous		Coarse		Red		Yes		Multiple Stem		Moderate		15		15		No		No		Short		No		None		Yes		Erect		None		Yes		Yes		Yes		None		High		Yes		Low		Medium	High	100	High	Medium	4.8	8.4	700	1700	12	140	24	Low	Intermediate	-62	Early Summer	Routinely Available	High	Summer	Fall	No	Yes	No	Yes	No	Yes	Yes	No	No	No	60051	Slow	High	No	Moderate	Yes	No	No		No	No	No	Medium	Low	Yes	No	High	No	No
7			ARAL2						ARAL2		Arctostaphylos alpina		alpine bearberry		Arctostaphylos		Ericaceae		Perennial		Shrub		L48 (N), AK (N), CAN (N), GL (N), SPM (N)						None		Medium		No		Yes		No		Yellow		No		Yellow-Green		Moderate		Porous		Coarse		Black		No		Rhizomatous		Rapid				0.5		No		No		Short		No		None		Yes		Decumbent		None		Yes		No		No		None		Low		Yes		None		Medium	Medium	120	Low		4.5	7.7	640	2560	12	197	12		Intermediate	-62	Early Spring		Medium			No	No	No	Yes	No	Yes	Yes	No	Yes	No	1700			No		Yes	No	No		No	No	No	Medium		Yes	No		No	No
8			ARTI						ARTI		Artemisia tilesii		Tilesius' wormwood		Artemisia		Asteraceae		Perennial		Subshrub, Forb/herb		L48 (N), AK (N), CAN (N)						None		Low		No		No		No		Yellow		No		Green		Dense		Dense		Coarse		Brown		No		Rhizomatous		Moderate		54		36		Yes		No		Short		No		None		Yes		Erect		Moderate		Yes		No		No		None		Low		Yes		Low		Medium	None	120	Medium	Medium	5	7.5	320	1280	10	32	12	None	Tolerant	-62	Summer	Routinely Available	Medium			No	No	No	Yes	No	Yes	Yes	No	No	No	5296666	Moderate	Medium	No	Moderate	No	No	No		No	No	No	Low	Medium	Yes	No	Low	No	No
9			AVSA						AVSA		Avena sativa		common oat		Avena		Poaceae		Annual		Graminoid		L48 (I), AK (I), HI (I), PR (I), CAN (W), GL (W), SPM (W)		Spring and Summer				None		Low		No		No		No		Yellow		No		Green		Moderate		Porous		Fine		Brown		No		Bunch		Rapid				2		No		No				No		None		No		Erect		None		Yes		Yes		Yes		Low		Low		No		Low		Medium	None	90	None	Medium	5.3	8.5			25	100	8	Medium	Intolerant	-23	Late Spring	Routinely Available	High	Summer	Summer	No	No	No	No	No	No	Yes	No	No	No	19400	None	High	Yes	None	No	No	Yes		No	No	No	Medium	High	Yes	No	Medium	No	No
10			AVSA			AVBY			AVBY		Avena byzantina				Avena																																																																																																																														
