id	latin_name	phenological_event	start_month	start_day	end_month	end_day	practice	detail
0	Allium schoenoprasum		4	1	4	15	transplant	
1	Ficus carica		2	1	3	20	prune	remove 2 year old wood, weak, inward facing and crossing shooits to pollard. https://rickshory.wordpress.com/2019/11/13/growing-figs-in-the-pnw/
2	Vitis vinifera		11	1	12	28	cuttings of mature wood	Cuttings of mature wood of the current seasons growth, December/January in a frame. These cuttings can be of wood 15 - 30cm long or they can be of short sections of the stem about 5cm long with just one bud at the top of the section. In this case a thin, narrow strip of the bark about 3cm long is removed from the bottom half of the side of the stem. This will encourage callusing and the formation of roots. Due to the size of these cuttings they need to be kept in a more protected environment than the longer cuttings.
3	Zea mays		4	1	4	28	sew seed	in a greenhouse if soil is over 18C
5	Antirrhinum majus		3	1	3	30	sew seed	surface sow in a greenhouse.
6	Borago officinalis		4	1	5	28	sew seed	Seed - sow April/May in situ.
8	Cydonia oblonga		11	1	11	28	sew seed	best sown in a cold frame as soon as it is ripe
9	Dioscorea japonica		3	1	4	28	sew seed	 sow March to April in a sunny position in a warm greenhouse and only just cover. It germinates in 1 - 3 weeks at 20°c[175]. 
10	Eruca vesicaria sativa		2	1	8	15	sew seed	
11	Galium odoratum		7	1	8	28	sew seed	Seed - best sown in situ as soon as it is ripe in late summer[200]
12	Lonicera caerulea						sew seed	in a cold frame. Stored seed requires 2 months cold stratification[113] and should be sown as soon as possible in a cold frame.
13	Ribes uva-crispa		7	1	9	28	sew seed	Seed - best sown as soon as it is ripe in the autumn in a cold frame. Stored seed requires 3 months cold stratification at between 0 and 5°c and should be sown as early in the year as possible[113, 164]. Under normal storage conditions the seed can remain viable for 17 years or more.
14	Rudbeckia laciniata		4	1	4	28	sew seed	Seed - sow April in a greenhouse. Only just cover the seed. Germination should take place within 2 weeks
15	Salvia officinalis		3	1	4	28	sew seed	Seed - sow March/April in a greenhouse[1]. Germination usually takes place within 2 weeks.
17	Allium fistulosum		1	1	12	28	divide	Division of the plants is very easy and can be done at almost any time of the year though the spring is probably best. The divisions can be planted out straight into their permanent positions if required.
18	Allium tuberosum		1	1	12	28	divide	Very easy, the plants divide successfully at almost any time of the year. The divisions can be planted straight out into their permanent positions if required.
19	Antirrhinum majus		7	1	8	28	sew seed	The seed can also be sown in situ in July/August and will produce larger and more floriferous plants the following summer.
20	Antirrhinum majus		9	1	9	28	cuttings of half-ripe wood	Cuttings of half-ripe wood in September in a cold frame[200].
21	Beta vulgaris flavescens		4	1	5	28	plant out	 obtain an earlier crop by sowing the seed in a tray in a greenhouse in March and planting out in April/May[264].
22	Beta vulgaris flavescens		3	1	3	28	sew seed	 obtain an earlier crop by sowing the seed in a tray in a greenhouse in March
23	Brassica oleracea		1	1	12	28	cuttings	Cuttings root very easily at almost any time in the growing season[K]. Use shoots about 8cm long of the current year's growth and place them in individual pots in the cuttings frame[K].
24	Mentha species		1	1	12	28	divide	Division can be easily carried out at almost any time of the year, though it is probably best done in the spring or autumn to allow the plant to establish more quickly. Virtually any part of the root is capable of growing into a new plant. Larger divisions can be planted out direct into their permanent positions. However, for maximum increase it is possible to divide the roots up into sections no more than 3cm long and pot these up in light shade in a cold frame. They will quickly become established and can be planted out in the summer.
26	Camellia sinensis		8	1	9	28	cuttings of almost ripe wood	Cuttings of almost ripe wood, 10 - 15cm with a heel, August/September in a shaded frame. High percentage but slow[78].
27	Camellia sinensis		6	15	6	28	Cuttings of firm wood	7 - 10cm with a heel, in a frame[11, 78]. Keep in a cool greenhouse for the first year[11
28	Camellia sinensis		7	1	8	28	cuttings	Leaf-bud cuttings, July/August in a frame.
29	Forsythia viridissima		7	1	8	28	cuttings of half-ripe wood	10 - 15cm taken at a node, July/August in a frame.
30	Humulus lupulus		7	1	8	28	cuttings of half-ripe wood	Cuttings of half-ripe wood, July/August in a frame[113]
31	Laurus nobilis		7	1	8	28	cuttings of half-ripe wood	Cuttings of half-ripe wood, July/August in a frame. Can take 6 months[1, 14
32	Laurus nobilis		11	1	12	28	cuttings of mature side shoots	10 - 12cm with a heel, November/December in a cold frame. Leave for 18 months. High percentage[78].
33	Lavandula angustifolia		7	1	8	28	cuttings of half-ripe wood	Cuttings of half-ripe wood 7 - 10cm with a heel, July/August in a frame. Usually very east, a high percentage will root within a few weeks[78]. Grow them on in the greenhouse for their first winter and plant them out in late spring after the last expected frosts.
34	Lavandula angustifolia		1	1	12	28	cuttings	Cuttings 7cm with a heel succeed at almost any time of the year[1].
35	Lavandula angustifolia		1	1	12	28	layering	
36	Lonicera caerulea		7	1	8	28	cuttings of half-ripe wood	Cuttings of half-ripe wood, 7 - 10cm with or without a heel, in a frame
37	Lonicera caerulea		11	1	11	28	cuttings	mature wood of the current season's growth, 15 - 20cm with or without a heel, in a cold frame.
39	Melissa officinalis		7	1	8	28	cuttings	
