ID	Latin Name	Common Name	Part of plant	Dry or Fresh weight	Water	Calories	Protein	Fat	Carbohydrate	Fibre	Ash	Calcium	Phosphorus	Iron	Magnesium	Sodium	Potassium	Zinc	VitaminA	Thiamine	Riboflavin	Niacin	VitaminC	VitaminB6	Source	Notes
1	Abutilon theophrasti	China jute	Seed	F			17.4	16	33.8		4.4															
2	Acacia coriacea	Wiry wattle	Seed	F			20																			
3	Aesculus californica	Californian buckeye	Seed	F			23																			
4	Allium cepa ascalonicum	Shallots	Root	F	79.8	72	2.5	0.1	16.8	0.7	0.8	37	60	1.2		12	334		0	0.06	0.02	0.2	8		218	
5	Allium chinense	Rakkyo	Root	F			3.1	0.1	18.3		0.7															
6	Allium fistulosum	Welsh onion	Leaves	F			1.4	0.3	4.6		0.8															
7	Allium fistulosum	Welsh onion	Root	D	0	349	18.6	3.5	70.9	9.3	7	640	477	13		174	2233		7326	0.7	0.93	5.81	221		218	
8	Allium sativum	Garlic	Root	D	0	360	13.5	0.7	82	3	3.5	65	400	4.3		53	1250		0	0.7	0.2	1.25	35		218	The figures given here are the median of a range given in the report.
9	Allium schoenoprasum	Chives	Leaves	D	0	330	27	5.5	60	10.7	7	900	509	15			2874		40000	1.1	1.15	6	522		218	The figures given here are the median figures of a range that was quoted in the report.
10	Allium tuberosum	Garlic chives	Leaves	F			2.6	0.6	2.4		0.9															
11	Amaranthus blitum		Leaves	F			3.9	1.1	9.4		3.2	323		8.3												
12	Amaranthus caudatus	Love lies bleeding	Seed	F			18																			
13	Amaranthus cruentus		Seed	F			15																			
14	Amaranthus spinosus		Leaves	D	0	276	30	4.5	50	10	20	5000	450	100		30	3000		40	0.06	2.02	8	503			
15	Amaranthus tricolor		Leaves	D	0							2441	1008	51		34	4475		37623	0.68	2.37	11.5	730			
16	Amaranthus viridis	Calalu	Leaves	D	0	283	34.2	5.3	44.1	6.6	16.4	2243	500	27		336	2910		50	0.07	2.43	11.8	790			
17	Amorphophallus rivieri	Devil's tongue	Leaves	D	0	308	3.8	0	88.5	3.8	7.7	654	269	11.5												
18	Amorphophallus rivieri	Devil's tongue	Root	F	97.4	8	0.1	0	2.3	0.1	0.2	17	7	0.3												
19	Amphicarpaea pitcheri	Hog peanut	Seed	F			25																			
20	Anethum graveolens	Dill	Leaves	F	7.2	253	20	4.4	55.8	11.9	12.6	1784	543	48.8	451	208	3308	3.3		0.42	0.28	2.8		1.5		
21	Anethum graveolens	Dill	Seed	F	7.7	305		14.5	55.2	21.1	6.7	1516	277	16.3	256	20	1186	5.2	53	0.42	0.28					
22	Apios americana	Ground nut	Root	F			17																			
23	Apios fortunei		Root	F			4.2	0.2	24.3		1.3															
24	Arachis hypogaea	Peanut	Seed	F	13	500	29	45	15	2.7	2.5	49	409	3.8					15	0.79	0.14	15.5	1		218	The figures given here are the median figures of those quoted in the report.
25	Aralia cordata	Udo	Shoots	F			1.1	0.42	0.8		0.55															
26	Arctium lappa	Great burdock	Leaves	F			3.5	1.8	19.4		8.8															
27	Arctium lappa	Great burdock	Root	F			2.5	0.14	14.5		1.17															
28	Artemisia keiskeana		Leaves	F			5.6	1.2	9.5		2.6															
29	Asparagus officinalis	Asparagus	Stem	F	91.7	26	2.5	0.2	5	0.7	0.6	22	62	1		2	278		540	0.18	0.2	1.5	33		218	
30	Aster amellus		Leaves	D	0	305	32.8	5.5	50	8.6	11.7	328	594	31			4164		26	1.41	2.81	8.59	688			
31	Basella alba	Indian spinach	Leaves	D	0	275	20	3.5	54	9	19	3000							50	0.7	1.8	7.5	1200			
32	Bassia scoparia	Summer cypress	Leaves	D	0		21.5	2.4	56.8	19.7	19.2														218	
33	Bassia scoparia	Summer cypress	Seed	D	0		24	12.4			6.4														218	The values here are based on the median figures of those quoted in the report.
34	Benincasa hispida	Wax gourd	Fruit	F	96.1	13	0.4	0.2	3	0.5	0.3	19	19	0.4		6	111			4	0.11	0.4	13		218	
35	Berberis aristata	Chitra	Fruit	F			2.3		12		2															
36	Beta vulgaris craca	Beetroot	Leaves	F	86.4	45	3.2	0.4	8.1	3.8	1.9	114	34	3.1					3152	0.07	0.22	0.6	50		218	The figures for Vitamin a are said to be milligrammes.
37	Bidens pilosa	Beggar's ticks	Leaves	D	0	295	24.5	4	56.4	12.1	15.1	1721	273			11	267		12							
38	Bidens pilosa	Beggar's ticks	Seed	F			17.5	17.1																		
39	Brachychiton populneus	Kurrajong	Seed	F			18	25																		
40	Brasenia schreberi	Water shield	Leaves	D	0	135	9.5	2.7	24.3	1.4	63.5	122	311	27					135	0.41		0.05	0		218	The figure for ash is remarkably high and needs to be verified.
41	Brassica juncea	Chinese mustard	Seed	F				30																		
42	Brassica oleracea gongylodes	Kohl rabi	Leaves	D	0	320	23.5	2.5	62.5	13	10.5	430	450	10.5		80	3100		15000	0.6	0.7	4.5	670		218	The figures given here are the median of a range that was given in the reference.
