ID	Latin Name	Cultivar	Notes on cultivar	Synonyms	Pull out	Record checked	Last update
1	Amelanchier alnifolia	'Gypsy'	Large juicy fruit of fine flavour[183].		0	0	1996-07-10 00:00
2	Amelanchier alnifolia	'Honeywood'	Large dark purple fruit with an excellent pleasant flavour[183]. The fruit is abundantly produced in heavy clusters of up to 15 berries[183]. Plants commence bearing at an early age[183].Plants grow to about 2 metres tall, eventually becoming multi-stemmed clumps[183].		0	0	1996-07-10 00:00
3	Amelanchier alnifolia	'Moonlake'	Yields large fruits, but is a sporadic bearer[183].		0	0	1996-07-10 00:00
4	Amelanchier alnifolia	'Northline'	Large, sweet, good quality fruits[183].A small, freely suckering shrub, to 1.5 metres tall[183].		0	0	1996-07-10 00:00
5	Amelanchier alnifolia	'Pembina'	The large sweet fully-flavoured fruit is produced on long clusters[183].A very vigorous and productive plant, forming an upright, slightly spreading shrub that does not sucker freely, it grows to 3 metres tall[183].		0	0	1996-07-10 00:00
6	Amelanchier alnifolia	'Regent'	Produces an abundant crop of fruit that is excellent for jams and jellies[183].A semi-dwarf shrub, 1.2 - 2 metres tall with a spread of 1.2 metres[183]. It has been selected both for ornamental use and for fruiting[183].		0	0	1996-07-10 00:00
7	Amelanchier alnifolia	'Smoky'	A large round fruit to 15mm in diameter, the flesh is very sweet and juicy with a full flavour[183].A reliable and very heavy bearing cultivar, yields of 40 kilos per plant have been recorded[183]. Plants grow to 2.4 metres tall and produce suckers freely[183]. This is the leading commercial variety in Canada[183].		0	0	1996-07-10 00:00
8	Amelanchier alnifolia	'Success'	The fruits are up to 12mm in diameter and are very good for eating out of hand[183].A bushy shrub growing to 2.4 metres tall and suckering freely[183].		0	0	1996-07-10 00:00
9	Amelanchier alnifolia	'Thiessen'	A very productive plant with fruits up to 12mm in diameter[183]. It is similar to 'Honeywood' in most respects[183].Forms a roundish tree that can in time reach 5 metres in height[183].		0	0	1996-07-10 00:00
10	Amelanchier alnifolia	'Timm'	The large blueberry-shaped fruit is very sweet and flavoursome, ripening early[183].A medium-size tree, it can produce fruit in its 2nd year[183].		0	0	17/10/96 0:00:00
11	Amelanchier basalticola	''	No entries have been made for this species as yet.		0	0	
12	Amelanchier canadensis	'Prince William'	The purplish-blue fruits are up to 12mm in diameter, their quality is good and they are produced abundantly[183].A large multi-stemmed shrub that grows up to 3 metres tall and 2 metres wide[183].		0	0	1996-07-10 00:00
13	Amelanchier confusa	''	No entries have been made for this species as yet.		0	0	
14	Amelanchier lamarckii	'Ballerina'	A very tasty fruit, about the size of a blackcurrant[183, K].A large shrub or small tree, it can reach 4.5 metres in height[183].		0	0	1996-07-10 00:00
