ID	Latin name	Use
1	Abelmoschus esculentus	Coffee
2	Abelmoschus esculentus	Fruit
3	Abelmoschus esculentus	Leaves
4	Abelmoschus esculentus	Oil
5	Abelmoschus esculentus	Pectin
6	Abelmoschus esculentus	Root
7	Abelmoschus esculentus	Seed
8	Abelmoschus manihot	Flowers
9	Abelmoschus manihot	Leaves
10	Abelmoschus moschatus	Condiment
11	Abelmoschus moschatus	Leaves
12	Abelmoschus moschatus	Root
13	Abelmoschus moschatus	Seedpod
14	Abies alba	Inner bark
15	Abies amabilis	Gum
16	Abies amabilis	Inner bark
17	Abies amabilis	Tea
18	Abies balsamea	Condiment
19	Abies balsamea	Gum
20	Abies balsamea	Inner bark
21	Abies balsamea	Tea
22	Abies firma	Seed
23	Abies fraseri	Condiment
24	Abies fraseri	Gum
25	Abies fraseri	Inner bark
26	Abies fraseri	Tea
27	Abies grandis	Drink
28	Abies grandis	Gum
29	Abies grandis	Inner bark
30	Abies grandis	Tea
31	Abies lasiocarpa	Gum
32	Abies lasiocarpa	Inner bark
33	Abies lasiocarpa	Seed
34	Abies lasiocarpa	Seedpod
35	Abies lasiocarpa	Tea
36	Abobra tenuifolia	Fruit
37	Abronia fragrans	Root
38	Abronia latifolia	Root
39	Abutilon species	Flowers
40	Abutilon megapotamicum	Flowers
41	Abutilon ochsenii	Flowers
42	Abutilon purpurascens	Flowers
43	Abutilon theophrasti	Fruit
44	Abutilon theophrasti	Seed
45	Abutilon vitifolium	Flowers
46	Abutilon x hybridum	Flowers
47	Abutilon x milleri	Flowers
48	Abutilon x suntense	Flowers
49	Acacia aneura	Drink
50	Acacia aneura	Flowers
51	Acacia aneura	Gum
52	Acacia aneura	Manna
53	Acacia aneura	Seed
54	Acacia coriacea	Flowers
55	Acacia coriacea	Seed
56	Acacia cultriformis	Flowers
57	Acacia dealbata	Flowers
58	Acacia dealbata	Gum
59	Acacia decurrens	Flowers
60	Acacia decurrens	Gum
61	Acacia longifolia	Flowers
62	Acacia longifolia	Seed
63	Acacia longifolia	Seedpod
64	Acacia melanoxylon	Flowers
65	Acacia paradoxa	Flowers
66	Acacia podalyriifolia	Flowers
67	Acacia pycnantha	Flowers
68	Acacia pycnantha	Gum
69	Acacia retinodes	Flowers
