name	phone	address	email	website	Coordinates
Bullocks	360 376 2773		info@permacultureportal.com		
Butterfly plants for Saanich				https://www.saanich.ca/assets/Community/Documents/Environment/naturescape/Butterfly_food_plants_humm	
CRD	250-474-9684	479 Island Hwy, Victoria, BC			
Dinters	250 748 2023	Duncan			
DownToEarth	250 391 9366		downtoearth@shaw.ca		
Ecosense	250 478 2680				
Empowering growth Nursery	250 818 3605	270 Russell St.	dark_zen008@hotmail.com		
Everything Edible	250 642 0267	6411 Sooke Rd, Sooke, BC. Canada	goedible@gmail.com	eeLandscaping.blogspot.com	48.381928,-123.708261
Fairy Creek					
Fire Safe					
Fruit Trees and More	250 656 4269				
Full Circle Seeds	2506423671				
Garry Fletcher	25047eight2767	4645William Head Rd.	garryf(at symbol)gmail.com	http://www.gfletcher.ca/?cat=2	
Geoff Johnson			respectyouralders@yahoo.com		
Grahms Neighborhood					
Islandview Nursery	250 544 4802	2933 Mcintyre Central Saanich	sales@islandviewnursery.net		
Korbinians plants					
LeCoteau			lecoteaunursery@gmail.com		
Lochside	2505443100				
Natural Resource Native Plant Nursery	250 748 0684	24660Roome Rd., Duncan, BC	r_oud@shaw.ca		
Plants of Coastal British Columbia					
Purposeful Plants	778 265 1267				
Richters					
Russellnursery	250 656-0384	1370 Wain Rd, North Saanich, BC V8L 5V1			
Satin Flower Nursery					
Tree					
Tree Eater Nursery	25808978540			treeeaterfarmandnursery@gmail.com	
Victoria bamboo					
West Coast Seeds				www.westcoastseeds.com	
West Coast Wild Ones					
saanichnativeplants			info@saanichnativeplants.com		
