id	latin_name	initials	cultivar	icon_url
1	Abies balsamea	Aba	.	../Drawing/Icons/Plants/Plants/Abies_balsamea(Aba).svg
2	Acca sellowiana	As	.	../Drawing/Icons/Plants/Plants/Acca_sellowiana(As).svg
3	Acer macrophyllum	Am	.	../Drawing/Icons/Plants/Plants/Acer_macrophyllum(Am).svg
4	Acer sacarum	As	.	../Drawing/Icons/Plants/Plants/Acer_sacarum(As).svg
5	Achillea millefolium	Am	.	../Drawing/Icons/Plants/Plants/Achillea_millefolium(Am).svg
6	Actinidia arguta	Aa	.	../Drawing/Icons/Plants/Plants/Actinidia_arguta(Aa).svg
7	Actinidia deliciosa	Ad	.	../Drawing/Icons/Plants/Plants/Actinidia_deliciosa(Ad).svg
8	Actinidia kolomikta	Ak	.	../Drawing/Icons/Plants/Plants/Actinidia_kolomikta(Ak).svg
9	Agastache foeniculum	Af	.	../Drawing/Icons/Plants/Plants/Agastache_foeniculum(Af).svg
10	Ajuga reptans	Ar	.	../Drawing/Icons/Plants/Plants/Ajuga_reptans(Ar).svg
11	Akebia quinata	Ak	.	../Drawing/Icons/Plants/Plants/Akebia_quinata(Ak).svg
12	Allium ampeloprasum	Aa	.	../Drawing/Icons/Plants/Plants/Allium_ampeloprasum(Aa).svg
13	Allium cepa	Ace	.	../Drawing/Icons/Plants/Plants/Allium_cepa(Ace).svg
14	Allium cepa	Ase	.	../Drawing/Icons/Plants/Plants/Allium_cepa(Ase).svg
15	Allium cepa proliferum	Acp	.	../Drawing/Icons/Plants/Plants/Allium_cepa_proliferum(Acp).svg
16	Allium cernum	Acr	.	../Drawing/Icons/Plants/Plants/Allium_cernum(Acr).svg
17	Allium porrum	Ap	.	../Drawing/Icons/Plants/Plants/Allium_porrum(Ap).svg
18	Allium sativum	Asa	.	../Drawing/Icons/Plants/Plants/Allium_sativum(Asa).svg
19	Allium schoenoprasum	Asc	.	../Drawing/Icons/Plants/Plants/Allium_schoenoprasum(Asc).svg
20	Allium tricoccum	At	.	../Drawing/Icons/Plants/Plants/Allium_tricoccum(At).svg
21	Alnus rubra	Ar	.	../Drawing/Icons/Plants/Plants/Alnus_rubra(Ar).svg
22	Althea officinalis	Ao	.	../Drawing/Icons/Plants/Plants/Althea_officinalis(Ao).svg
23	Amelanchier alnifolia	Aa	.	../Drawing/Icons/Plants/Plants/Amelanchier_alnifolia(Aa).svg
24	Amelanchier canadensis	Aca	.	../Drawing/Icons/Plants/Plants/Amelanchier_canadensis(Aca).svg
25	Anethum graveolens	Agr	.	../Drawing/Icons/Plants/Plants/Anethum_graveolens(Agr).svg
26	Anthriscus cerefolium	Ac	.	../Drawing/Icons/Plants/Plants/Anthriscus_cerefolium(Ac).svg
27	Apium graveolens rapaceum		.	../Drawing/Icons/Plants/Plants/Apium_graveolens_rapaceum(Agc.svg
28	Aquilegia canadensis	Ac	.	../Drawing/Icons/Plants/Plants/Aquilegia_canadensis(Ac).svg
29	Aquilegia vulgaris	Av	.	../Drawing/Icons/Plants/Plants/Aquilegia_vulgaris(Av).svg
30	Aralia chinensis	Ach	.	../Drawing/Icons/Plants/Plants/Aralia_chinensis(Ach).svg
31	Araucaria araucana	Mp	.	../Drawing/Icons/Plants/Plants/Araucaria_araucana(Mp).svg
32	Arbutus unedo	Au	.	../Drawing/Icons/Plants/Plants/Arbutus_unedo(Au).svg
33	Arctostaphylos uva-ursi	Au	.	../Drawing/Icons/Plants/Plants/Arctostaphylos_uva-ursi(Au).svg
34	Armoracia rusticana	Ar	.	../Drawing/Icons/Plants/Plants/Armoracia_rusticana(Ar).svg
35	Aronia melanocarpa	Am	.	../Drawing/Icons/Plants/Plants/Aronia_melanocarpa(Am).svg
36	Artemisia dracunculoides	Adr	.	../Drawing/Icons/Plants/Plants/Artemisia_dracunculoides(Adr).svg
37	Artemisia dracunculus	Adu	.	../Drawing/Icons/Plants/Plants/Artemisia_dracunculus(Adu).svg
38	Asarum canadense	Ac	.	../Drawing/Icons/Plants/Plants/Asarum_canadense(Ac).svg
39	Asclepia incarnata	Ai	.	../Drawing/Icons/Plants/Plants/Asclepia_incarnata(Ai).svg
40	Asimina triloba	At	.	../Drawing/Icons/Plants/Plants/Asimina_triloba(At).svg
41	Asparagus officinalis	Ao	.	../Drawing/Icons/Plants/Plants/Asparagus_officinalis(Ao).svg
42	Bambusa multiplex	Bm	.	../Drawing/Icons/Plants/Plants/Bambusa_multiplex(Bm).svg
43	Bellis perennis	Bp	.	../Drawing/Icons/Plants/Plants/Bellis_perennis(Bp).svg
44	Berberis darwinii	Bd	.	../Drawing/Icons/Plants/Plants/Berberis_darwinii(Bd).svg
45	Berberis thunbergii	Bt	.	../Drawing/Icons/Plants/Plants/Berberis_thunbergii(Bt).svg
46	Betula Papyrifera	Bpa	.	../Drawing/Icons/Plants/Plants/Betula_Papyrifera(Bpa).svg
47	Betula pendula	Bp	.	../Drawing/Icons/Plants/Plants/Betula_pendula(Bp).svg
48	Borago officinalis	Bof	.	../Drawing/Icons/Plants/Plants/Borago_officinalis(Bof).svg
49	Brassica napus	Bn	.	../Drawing/Icons/Plants/Plants/Brassica_napus(Bn).svg
50	Brassica oleracea	Bol	.	../Drawing/Icons/Plants/Plants/Brassica_oleracea(Bol).svg
51	Buddleia davidii	Bd	.	../Drawing/Icons/Plants/Plants/Buddleia_davidii(Bd).svg
52	Calendula officinalis	Co	.	../Drawing/Icons/Plants/Plants/Calendula_officinalis(Co).svg
53	Calluna vulgaris	Cv	.	../Drawing/Icons/Plants/Plants/Calluna_vulgaris(Cv).svg
54	Camassia quamash	Cq	.	../Drawing/Icons/Plants/Plants/Camassia_quamash(Cq).svg
55	Camelia japonica	Cj	.	../Drawing/Icons/Plants/Plants/Camelia_japonica(Cj).svg
56	Camellia sasanqua	Csa	.	../Drawing/Icons/Plants/Plants/Camellia_sasanqua(Csa).svg
57	Camellia sinensis	Csi	.	../Drawing/Icons/Plants/Plants/Camellia_sinensis(Csi).svg
58	Campanula carpatica	Cc	.	../Drawing/Icons/Plants/Plants/Campanula_carpatica(Cc).svg
59	Capsicum annuum	Can	.	../Drawing/Icons/Plants/Plants/Capsicum_annuum(Can).svg
60	Caragana arborescens	Car	.	../Drawing/Icons/Plants/Plants/Caragana_arborescens(Car).svg
61	Carum carvi	Cc	.	../Drawing/Icons/Plants/Plants/Carum_carvi(Cc).svg
62	Castanaea dentata	Cd	.	../Drawing/Icons/Plants/Plants/Castanaea_dentata(Cd).svg
63	Castanea sativa	Cs	.	../Drawing/Icons/Plants/Plants/Castanea_sativa(Cs).svg
64	Centella asiatica	Ca	.	../Drawing/Icons/Plants/Plants/Centella_asiatica(Ca).svg
65	Chamaemelum nobile	Cn	.	../Drawing/Icons/Plants/Plants/Chamaemelum_nobile(Cn).svg
66	Chenopodium bonus-henricus	Cb	.	../Drawing/Icons/Plants/Plants/Chenopodium_bonus-henricus(Cb).svg
67	Chimaphila umbellata	Cu	.	../Drawing/Icons/Plants/Plants/Chimaphila_umbellata(Cu).svg
68	Chusquea culeou	Cc	.	../Drawing/Icons/Plants/Plants/Chusquea_culeou(Cc).svg
69	Claytonia perfoliata	Cp	.	../Drawing/Icons/Plants/Plants/Claytonia_perfoliata(Cp).svg
70	Clematis armandii	Ca	.	../Drawing/Icons/Plants/Plants/Clematis_armandii(Ca).svg
71	Clematis montana	Cm	.	../Drawing/Icons/Plants/Plants/Clematis_montana(Cm).svg
72	Clematis viticella	Cv	.	../Drawing/Icons/Plants/Plants/Clematis_viticella(Cv).svg
73	Convallaria majali	Cm	.	../Drawing/Icons/Plants/Plants/Convallaria majali(Cm).svg
74	Coriandrum sativum	Cs	.	../Drawing/Icons/Plants/Plants/Coriandrum_sativum(Cs).svg
75	Cornus canadensis	Cc	.	../Drawing/Icons/Plants/Plants/Cornus_canadensis(Cc).svg
76	Cornus kousa	Cc	.	../Drawing/Icons/Plants/Plants/Cornus_kousa(Cc).svg
77	Cornus mas	Cma	.	../Drawing/Icons/Plants/Plants/Cornus_mas(Cma).svg
78	Corylus avellana	Ca	.	../Drawing/Icons/Plants/Plants/Corylus_avellana(Ca).svg
79	Crambe maritima	Cm	.	../Drawing/Icons/Plants/Plants/Crambe_maritima(Cm).svg
80	Crataegus douglasii	Cd	.	../Drawing/Icons/Plants/Plants/Crataegus_douglasii(Cd).svg
81	Crataegus monogyna	Cmo	.	../Drawing/Icons/Plants/Plants/Crataegus_monogyna(Cmo).svg
82	Cryptotaenia japonica	Cj	.	../Drawing/Icons/Plants/Plants/Cryptotaenia_japonica(Cj).svg
83	Cucurbita moschata	Cm	.	../Drawing/Icons/Plants/Plants/Cucurbita_moschata(Cm).svg
84	Cydonia oblonga	Co	.	../Drawing/Icons/Plants/Plants/Cydonia_oblonga(Co).svg
85	Cynara scolymus	Cs	.	../Drawing/Icons/Plants/Plants/Cynara_scolymus(Cs).svg
86	Daucus carota	Dcw	.	../Drawing/Icons/Plants/Plants/Daucus_carota(Dcw).svg
87	Daucus carota sativus	Dcs	.	../Drawing/Icons/Plants/Plants/Daucus_carota_sativus(Dcs).svg
88	Dianthus barbatus	Db	.	../Drawing/Icons/Plants/Plants/Dianthus_barbatus(Db).svg
89	Dianthus caryophyllus	Dc	.	../Drawing/Icons/Plants/Plants/Dianthus_caryophyllus(Dc).svg
90	Diospiros kaki	Dk	.	../Drawing/Icons/Plants/Plants/Diospiros_kaki(Dk).svg
91	Diospiros virginiana	Dv	.	../Drawing/Icons/Plants/Plants/Diospiros_virginiana(Dv).svg
92	Diospyros lotus	Dl	.	../Drawing/Icons/Plants/Plants/Diospyros_lotus(Dl).svg
93	Echinacea purpurea	Ep	.	../Drawing/Icons/Plants/Plants/Echinacea_purpurea(Ep).svg
94	Elaeagnus angustifolia	Ea	.	../Drawing/Icons/Plants/Plants/Elaeagnus_angustifolia(Ea).svg
95	Elaeagnus multiflora	Em	.	../Drawing/Icons/Plants/Plants/Elaeagnus_multiflora(Em).svg
96	Elaeagnus multiflora ovatum	Emo	.	../Drawing/Icons/Plants/Plants/Elaeagnus_multiflora_ovatum(Emo).svg
97	Elaeagnus umbellata	Eu	.	../Drawing/Icons/Plants/Plants/Elaeagnus_umbellata(Eu).svg
98	Elaeagnus x ebbingei	Exe	.	../Drawing/Icons/Plants/Plants/Elaeagnus_x_ebbingei(Exe).svg
99	Equisetum arvense	Ea	.	../Drawing/Icons/Plants/Plants/Equisetum_arvense(Ea).svg
100	Erythronium oregonum	Eo	.	../Drawing/Icons/Plants/Plants/Erythronium_oregonum(Eo).svg
101	Erythronium revolutum	Er	.	../Drawing/Icons/Plants/Plants/Erythronium_revolutum(Er).svg
102	Eschscholzia californica	Ec	.	../Drawing/Icons/Plants/Plants/Eschscholzia_californica(Ec).svg
103	Fagus sylvatica	Fs	.	../Drawing/Icons/Plants/Plants/Fagus_sylvatica(Fs).svg
104	Ficus carica	Fc	.	../Drawing/Icons/Plants/Plants/Ficus_carica(Fc).svg
105	Foeniculum vulgare	Fvu	.	../Drawing/Icons/Plants/Plants/Foeniculum_vulgare(Fvu).svg
106	Foeniculum vulgare azoricum	Fva	.	../Drawing/Icons/Plants/Plants/Foeniculum_vulgare_azoricum(Fva).svg
107	Fragaria x ananassa	Fxa	.	../Drawing/Icons/Plants/Plants/Fragaria_x_ananassa(Fxa).svg
108	Fuchsia coccinea	Fc	.	../Drawing/Icons/Plants/Plants/Fuchsia_coccinea(Fc).svg
109	Galium odoratum	Go	.	../Drawing/Icons/Plants/Plants/Galium_odoratum(Go).svg
110	Gaultheria mucronata	Gm	.	../Drawing/Icons/Plants/Plants/Gaultheria_mucronata(Gm).svg
111	Gaultheria procumbens	Gp	.	../Drawing/Icons/Plants/Plants/Gaultheria_procumbens(Gp).svg
112	Gaultheria shallon	Gs	.	../Drawing/Icons/Plants/Plants/Gaultheria_shallon(Gs).svg
113	Ginkgo biloba	Gb	.	../Drawing/Icons/Plants/Plants/Ginkgo_biloba(Gb).svg
114	Hamamelis virginiana	Hv	.	../Drawing/Icons/Plants/Plants/Hamamelis_virginiana(Hv).svg
115	Helianthus annuus	Ha	.	../Drawing/Icons/Plants/Plants/Helianthus_annuus(Ha).svg
116	Helianthus tuberosus	Ht	.	../Drawing/Icons/Plants/Plants/Helianthus_tuberosus(Ht).svg
117	Hemerocallis lilioasphodelus	Hl	.	../Drawing/Icons/Plants/Plants/Hemerocallis_lilioasphodelus(Hl).svg
118	Hibiscus syriacus	Hs	.	../Drawing/Icons/Plants/Plants/Hibiscus_syriacus(Hs).svg
119	Hippophae rhamnoides	Hr	.	../Drawing/Icons/Plants/Plants/Hippophae_rhamnoides(Hr).svg
120	Holodiscus discolor	Hd	.	../Drawing/Icons/Plants/Plants/Holodiscus_discolor(Hd).svg
121	Humulus lupulus	Hl	.	../Drawing/Icons/Plants/Plants/Humulus_lupulus(Hl).svg
122	Hydrangea macrophylla	Hm	.	../Drawing/Icons/Plants/Plants/Hydrangea_macrophylla(Hm).svg
123	Hydrangea serrata	Hs	.	../Drawing/Icons/Plants/Plants/Hydrangea_serrata(Hs).svg
124	Hypericum perforatum	Hp	.	../Drawing/Icons/Plants/Plants/Hypericum_perforatum(Hp).svg
125	Hyssopus officinalis	Ho	.	../Drawing/Icons/Plants/Plants/Hyssopus_officinalis(Ho).svg
126	Imperata cylindrica	Ic	.	../Drawing/Icons/Plants/Plants/Imperata_cylindrica(Ic).svg
127	Juglans ailanthifolia	Jai	.	../Drawing/Icons/Plants/Plants/Juglans_ailanthifolia(Jai).svg
128	Juglans ailanthifolia cordiformis	Jac	.	../Drawing/Icons/Plants/Plants/Juglans_ailanthifolia_cordiformis(Jac).svg
129	Juglans cinerea	Jc	.	../Drawing/Icons/Plants/Plants/Juglans_cinerea(Jc).svg
130	Juglans nigra	Jn	.	../Drawing/Icons/Plants/Plants/Juglans_nigra(Jn).svg
