id	latin_name	initials	cultivar	icon_url
3	Abies balsamea	Aba	.	../Drawing/Icons/Plants/Plants/Abies_balsamea(Aba).svg
4	Abies balsameanana	Abn	.	../Drawing/Icons/Plants/Plants/Abies_balsameanana(Abn).svg
5	Acca sellowiana	As	.	../Drawing/Icons/Plants/Plants/Acca_sellowiana(As).svg
6	Acer macrophyllum	Am	.	../Drawing/Icons/Plants/Plants/Acer_macrophyllum(Am).svg
7	Acer sacarum	As	.	../Drawing/Icons/Plants/Plants/Acer_sacarum(As).svg
8	Achillea millefolium	Am	.	../Drawing/Icons/Plants/Plants/Achillea_millefolium(Am).svg
9	Actinidia arguta	Aa	.	../Drawing/Icons/Plants/Plants/Actinidia_arguta(Aa).svg
10	Actinidia deliciosa	Ad	.	../Drawing/Icons/Plants/Plants/Actinidia_deliciosa(Ad).svg
11	Actinidia kolomikta	Ak	.	../Drawing/Icons/Plants/Plants/Actinidia_kolomikta(Ak).svg
12	Agastache foeniculum	Af	.	../Drawing/Icons/Plants/Plants/Agastache_foeniculum(Af).svg
13	Ajuga reptans	Ar	.	../Drawing/Icons/Plants/Plants/Ajuga_reptans(Ar).svg
14	Akebia quinata	Ak	.	../Drawing/Icons/Plants/Plants/Akebia_quinata(Ak).svg
15	Allium ampeloprasum	Aa	.	../Drawing/Icons/Plants/Plants/Allium_ampeloprasum(Aa).svg
16	Allium cepa proliferum	Acp	.	../Drawing/Icons/Plants/Plants/Allium_cepa_proliferum(Acp).svg
17	Allium cernum	Acr	.	../Drawing/Icons/Plants/Plants/Allium_cernum(Acr).svg
18	Allium porrum	Ap	.	../Drawing/Icons/Plants/Plants/Allium_porrum(Ap).svg
19	Allium sativum	Asa	.	../Drawing/Icons/Plants/Plants/Allium_sativum(Asa).svg
20	Allium schoenoprasum	Asc	.	../Drawing/Icons/Plants/Plants/Allium_schoenoprasum(Asc).svg
21	Allium tricoccum	At	.	../Drawing/Icons/Plants/Plants/Allium_tricoccum(At).svg
22	Alnus rubra	Ar	.	../Drawing/Icons/Plants/Plants/Alnus_rubra(Ar).svg
23	Althea officinalis	Ao	.	../Drawing/Icons/Plants/Plants/Althea_officinalis(Ao).svg
24	Amelanchier alnifolia	Aa	.	../Drawing/Icons/Plants/Plants/Amelanchier_alnifolia(Aa).svg
25	Amelanchier canadensis	Aca	.	../Drawing/Icons/Plants/Plants/Amelanchier_canadensis(Aca).svg
26	Anethum graveolens	Agr	.	../Drawing/Icons/Plants/Plants/Anethum_graveolens(Agr).svg
27	Anthriscus cerefolium	Ac	.	../Drawing/Icons/Plants/Plants/Anthriscus_cerefolium(Ac).svg
28	Apium graveolens rapaceum		.	../Drawing/Icons/Plants/Plants/Apium_graveolens_rapaceum(Agc.svg
