ID	Latin name	Use
1	Abelmoschus esculentus	Antispasmodic
2	Abelmoschus esculentus	Demulcent
3	Abelmoschus esculentus	Diaphoretic
4	Abelmoschus esculentus	Diuretic
5	Abelmoschus esculentus	Emollient
6	Abelmoschus esculentus	Stimulant
7	Abelmoschus manihot	Emmenagogue
8	Abelmoschus moschatus	Antihalitosis
9	Abelmoschus moschatus	Antispasmodic
10	Abelmoschus moschatus	Aphrodisiac
11	Abelmoschus moschatus	Aromatherapy
12	Abelmoschus moschatus	Digestive
13	Abelmoschus moschatus	Nervine
14	Abelmoschus moschatus	Stomachic
15	Abies alba	Antibiotic
16	Abies alba	Antirheumatic
17	Abies alba	Antiseptic
18	Abies alba	Astringent
19	Abies alba	Balsamic
20	Abies alba	Diuretic
21	Abies alba	Expectorant
22	Abies alba	Vasoconstrictor
23	Abies alba	Vulnerary
24	Abies balsamea	Analgesic
25	Abies balsamea	Antiscorbutic
26	Abies balsamea	Antiseptic
27	Abies balsamea	Diuretic
28	Abies balsamea	Poultice
29	Abies balsamea	Stimulant
30	Abies balsamea	Tonic
31	Abies balsamea	VD
32	Abies concolor	Antirheumatic
33	Abies concolor	Pectoral
34	Abies concolor	Poultice
35	Abies concolor	TB
36	Abies fraseri	Analgesic
37	Abies fraseri	Antiscorbutic
38	Abies fraseri	Antiseptic
39	Abies fraseri	Diuretic
40	Abies fraseri	Poultice
41	Abies fraseri	Stimulant
42	Abies fraseri	Tonic
43	Abies fraseri	VD
44	Abies grandis	Antirheumatic
45	Abies grandis	Laxative
46	Abies grandis	Ophthalmic
47	Abies grandis	Skin
48	Abies grandis	Stomachic
49	Abies grandis	TB
50	Abies grandis	Tonic
51	Abies lasiocarpa	Antihalitosis
52	Abies lasiocarpa	Antiseptic
53	Abies lasiocarpa	Emetic
54	Abies lasiocarpa	Foot care
55	Abies lasiocarpa	Laxative
56	Abies lasiocarpa	Poultice
57	Abies lasiocarpa	TB
58	Abies lasiocarpa	Tonic
59	Abies procera	Pectoral
60	Abies religiosa	Balsamic
61	Abies sibirica	Antirheumatic
62	Abies sibirica	Expectorant
63	Abies sibirica	Stimulant
64	Abies spectabilis	Antiperiodic
65	Abies spectabilis	Astringent
66	Abies spectabilis	Carminative
67	Abies spectabilis	Expectorant
68	Abies spectabilis	Stomachic
69	Abies spectabilis	Tonic
70	Abronia fragrans	Cathartic
71	Abronia fragrans	Diaphoretic
72	Abronia fragrans	Emetic
73	Abutilon theophrasti	Astringent
74	Abutilon theophrasti	Demulcent
75	Abutilon theophrasti	Diuretic
76	Abutilon theophrasti	Emollient
77	Abutilon theophrasti	Laxative
78	Abutilon theophrasti	Ophthalmic
79	Abutilon theophrasti	Poultice
80	Abutilon theophrasti	Stomachic
81	Acacia decurrens	Astringent
82	Acacia farnesiana	Astringent
83	Acacia farnesiana	Demulcent
84	Acacia farnesiana	Poultice
85	Acacia farnesiana	Stomachic
86	Acacia melanoxylon	Antirheumatic
87	Acaenia anserinifolia	Antiphlogistic
88	Acaenia anserinifolia	Diuretic
89	Acaenia anserinifolia	Vulnerary
90	Acanthus mollis	Astringent
91	Acanthus mollis	Detergent
92	Acanthus mollis	Emollient
93	Acanthus mollis	Vulnerary
94	Acer campestre	Anticholesterolemic
95	Acer campestre	Astringent
96	Acer circinatum	Astringent
97	Acer glabrum	Antiemetic
98	Acer glabrum	Birthing aid
99	Acer glabrum	Cathartic
100	Acer glabrum	Galactogogue
101	Acer macrophyllum	TB
102	Acer macrophyllum	Tonic
103	Acer mono	Astringent
104	Acer mono	Irritant
105	Acer negundo	Emetic
106	Acer pensylvanicum	Antiemetic
107	Acer pensylvanicum	Emetic
108	Acer pensylvanicum	Kidney
109	Acer pensylvanicum	Pectoral
110	Acer pseudoplatanus	Astringent
111	Acer pseudoplatanus	Vulnerary
112	Acer rubrum	Antispasmodic
113	Acer rubrum	Astringent
114	Acer rubrum	Ophthalmic
115	Acer saccharinum	Antispasmodic
116	Acer saccharinum	Astringent
117	Acer saccharinum	Ophthalmic
118	Acer saccharinum	Skin
119	Acer saccharinum	VD
120	Acer saccharum	Blood tonic
121	Acer saccharum	Diuretic
122	Acer saccharum	Expectorant
123	Acer saccharum	Hepatic
124	Acer saccharum	Ophthalmic
125	Acer saccharum nigrum	Astringent
126	Acer spicatum	Astringent
127	Acer spicatum	Ophthalmic
128	Acer spicatum	Poultice
129	Achillea erba-rotta moschata	Appetizer
130	Achillea erba-rotta moschata	Diaphoretic
131	Achillea erba-rotta moschata	Digestive
132	Achillea erba-rotta moschata	Diuretic
133	Achillea erba-rotta moschata	Stomachic
134	Achillea erba-rotta moschata	Tonic
135	Achillea millefolium	Antiinflammatory
136	Achillea millefolium	Antiseptic
137	Achillea millefolium	Antispasmodic
138	Achillea millefolium	Aromatic
139	Achillea millefolium	Astringent
140	Achillea millefolium	Carminative
141	Achillea millefolium	Cholagogue
142	Achillea millefolium	Diaphoretic
143	Achillea millefolium	Digestive
144	Achillea millefolium	Emmenagogue
145	Achillea millefolium	Odontalgic
146	Achillea millefolium	Stimulant
147	Achillea millefolium	Tonic
148	Achillea millefolium	Vasodilator
149	Achillea millefolium	Vulnerary
150	Achillea ptarmica	Cardiac
151	Achillea ptarmica	Diaphoretic
152	Achillea ptarmica	Digestive
153	Achillea ptarmica	Emmenagogue
154	Achillea ptarmica	Odontalgic
155	Achillea ptarmica	Sternutatory
156	Achillea ptarmica	Styptic
157	Achillea santolina	Carminative
158	Achillea santolina	Stomachic
159	Achillea santolina	Tonic
160	Achillea sibirica	Antibacterial
161	Achillea sibirica	Antiinflammatory
162	Achillea sibirica	Carminative
163	Achillea sibirica	Diaphoretic
164	Achillea sibirica	Emmenagogue
165	Achillea sibirica	Odontalgic
166	Achillea sibirica	Stomachic
167	Achillea sibirica	Tonic
168	Achyranthes bidentata	Anodyne
169	Achyranthes bidentata	Antirheumatic
170	Achyranthes bidentata	Bitter
171	Achyranthes bidentata	Digestive
172	Achyranthes bidentata	Diuretic
173	Achyranthes bidentata	Emmenagogue
174	Achyranthes bidentata	Vasodilator
175	Achyranthes faureri	Diuretic
176	Achyranthes faureri	Emmenagogue
177	Acinos alpinus	Diaphoretic
178	Acinos alpinus	Febrifuge
179	Acinos arvensis	Diuretic
180	Acinos arvensis	Odontalgic
181	Acinos arvensis	Rubefacient
182	Acinos arvensis	Stomachic
183	Acinos rotundifolius	Aphrodisiac
184	Acinos rotundifolius	Stimulant
185	Aconitum balfourii	Analgesic
186	Aconitum balfourii	Antiinflammatory
187	Aconitum balfourii	Antirheumatic
188	Aconitum balfourii	Vermifuge
189	Aconitum carmichaelii	Anaesthetic
190	Aconitum carmichaelii	Analgesic
191	Aconitum carmichaelii	Antiinflammatory
