ID	Latin name	Use
1	Abelia triflora	Wood
2	Abelmoschus esculentus	Fibre
3	Abelmoschus esculentus	Paper
4	Abelmoschus esculentus	Size
5	Abelmoschus moschatus	Essential
6	Abelmoschus moschatus	Fibre
7	Abelmoschus moschatus	Insecticide
8	Abelmoschus moschatus	Oil
9	Abelmoschus moschatus	Size
10	Abies alba	Essential
11	Abies alba	Lacquer
12	Abies alba	Paint
13	Abies alba	Resin
14	Abies alba	Tannin
15	Abies alba	Wood
16	Abies amabilis	Wood
17	Abies balsamea	Adhesive
18	Abies balsamea	Fibre
19	Abies balsamea	Kindling
20	Abies balsamea	Microscope
21	Abies balsamea	Repellent
22	Abies balsamea	Resin
23	Abies balsamea	Stuffing
24	Abies balsamea	Waterproofing
25	Abies balsamea	Wood
26	Abies cephalonica	Wood
27	Abies concolor	Dye
28	Abies concolor	Wood
29	Abies delavayi	Tannin
30	Abies delavayi	Wood
31	Abies firma	Wood
32	Abies fraseri	Adhesive
33	Abies fraseri	Microscope
34	Abies fraseri	Repellent
35	Abies fraseri	Resin
36	Abies fraseri	Stuffing
37	Abies fraseri	Wood
38	Abies grandis	Baby care
39	Abies grandis	Dye
40	Abies grandis	Incense
41	Abies grandis	Repellent
42	Abies grandis	Roofing
43	Abies grandis	Wood
44	Abies homolepis	Wood
45	Abies lasiocarpa	Baby care
46	Abies lasiocarpa	Deodorant
47	Abies lasiocarpa	Gum
48	Abies lasiocarpa	Hair
49	Abies lasiocarpa	Incense
50	Abies lasiocarpa	Miscellany
51	Abies lasiocarpa	Repellent
52	Abies lasiocarpa	Wood
53	Abies magnifica	Wood
54	Abies mariesii	Wood
55	Abies nordmanniana	Wood
56	Abies pindrow	Fuel
57	Abies pindrow	Wood
58	Abies procera	Wood
59	Abies recurvata	Wood
60	Abies religiosa	Paint
61	Abies religiosa	Wood
62	Abies sachalinensis	Wood
63	Abies sibirica	Essential
64	Abies sibirica	Wood
65	Abies spectabilis	Essential
66	Abies squamata	Wood
67	Abies veitchii	Wood
68	Abies veitchii sikokiana	Wood
69	Abutilon theophrasti	Fibre
70	Abutilon theophrasti	Oil
71	Abutilon theophrasti	Paper
72	Acacia aneura	Brush
73	Acacia aneura	Dye
74	Acacia aneura	Soil stabilization
75	Acacia aneura	Wood
76	Acacia coriacea	Dye
77	Acacia coriacea	Soil stabilization
78	Acacia cultriformis	Hedge
79	Acacia dealbata	Dye
80	Acacia dealbata	Soil stabilization
81	Acacia dealbata	Tannin
82	Acacia decurrens	Dye
83	Acacia decurrens	Hedge
84	Acacia decurrens	Soil stabilization
85	Acacia decurrens	Tannin
86	Acacia farnesiana	Adhesive
87	Acacia farnesiana	Dye
88	Acacia farnesiana	Essential
89	Acacia farnesiana	Gum
90	Acacia farnesiana	Ink
91	Acacia farnesiana	Tannin
92	Acacia farnesiana	Teeth
93	Acacia farnesiana	Wood
94	Acacia longifolia	Dye
95	Acacia longifolia	Hedge
96	Acacia longifolia	Rootstock
97	Acacia longifolia	Soil stabilization
98	Acacia longifolia	Wood
99	Acacia melanoxylon	Dye
100	Acacia melanoxylon	Soil stabilization
101	Acacia melanoxylon	Tannin
102	Acacia melanoxylon	Wood
103	Acacia paradoxa	Hedge
104	Acacia podalyriifolia	Dye
105	Acacia podalyriifolia	Soil stabilization
106	Acacia pycnantha	Dye
107	Acacia pycnantha	Soil stabilization
108	Acacia pycnantha	Tannin
109	Acacia retinodes	Dye
110	Acacia retinodes	Soil stabilization
111	Acacia saligna	Fuel
112	Acacia saligna	Hedge
113	Acacia saligna	Soil stabilization
114	Acacia saligna	Tannin
115	Acacia sophorae	Dye
116	Acacia sophorae	Soil stabilization
117	Acacia verticillata	Hedge
118	Acaenia anserinifolia	Ground cover
119	Acanthus mollis	Ground cover
120	Acca sellowiana	Hedge
121	Acer acuminatum	Preservative
122	Acer acuminatum	Wood
123	Acer argutum	Preservative
124	Acer caesium	Preservative
125	Acer caesium	Wood
126	Acer campestre	Charcoal
127	Acer campestre	Fuel
128	Acer campestre	Hedge
129	Acer campestre	Preservative
130	Acer campestre	Wood
131	Acer carpinifolium	Preservative
132	Acer circinatum	Basketry
133	Acer circinatum	Fuel
134	Acer circinatum	Paint
135	Acer circinatum	Preservative
136	Acer circinatum	Wood
137	Acer crataegifolium	Paper
138	Acer crataegifolium	Preservative
139	Acer distylum	Preservative
140	Acer ginnala	Dye
141	Acer ginnala	Preservative
142	Acer ginnala	Tannin
143	Acer glabrum	Containers
144	Acer glabrum	Fibre
145	Acer glabrum	Fuel
146	Acer glabrum	Preservative
147	Acer glabrum	Wood
148	Acer interius	Preservative
149	Acer macrophyllum	Basketry
150	Acer macrophyllum	Fibre
151	Acer macrophyllum	Fuel
152	Acer macrophyllum	Hair
153	Acer macrophyllum	Preservative
154	Acer macrophyllum	Scourer
155	Acer macrophyllum	Wood
156	Acer mono	Fuel
157	Acer mono	Preservative
158	Acer mono	Wood
159	Acer negundo	Musical
160	Acer negundo	Preservative
161	Acer negundo	Shelterbelt
162	Acer negundo	Wood
163	Acer oblongum	Preservative
164	Acer oblongum	Wood
165	Acer palmatum	Preservative
166	Acer pensylvanicum	Preservative
167	Acer platanoides	Dye
168	Acer platanoides	Preservative
169	Acer platanoides	Shelterbelt
170	Acer platanoides	Wood
171	Acer pseudoplatanus	Charcoal
172	Acer pseudoplatanus	Fuel
173	Acer pseudoplatanus	Pioneer
174	Acer pseudoplatanus	Preservative
175	Acer pseudoplatanus	Shelterbelt
176	Acer pseudoplatanus	Wood
177	Acer rubrum	Basketry
178	Acer rubrum	Dye
179	Acer rubrum	Pioneer
180	Acer rubrum	Preservative
181	Acer rubrum	Wood
182	Acer saccharinum	Dye
183	Acer saccharinum	Preservative
184	Acer saccharinum	Rust
185	Acer saccharinum	Shelterbelt
186	Acer saccharinum	Wood
187	Acer saccharum	Fuel
188	Acer saccharum	Potash
189	Acer saccharum	Preservative
190	Acer saccharum	Wood
191	Acer saccharum grandidentatum	Fuel
192	Acer saccharum grandidentatum	Preservative
193	Acer saccharum grandidentatum	Wood
194	Acer saccharum nigrum	Fuel
195	Acer saccharum nigrum	Preservative
196	Acer saccharum nigrum	Wood
197	Acer spicatum	Preservative
198	Acer spicatum	Soil stabilization
199	Acer spicatum	Tannin
200	Acer sterculiaceum	Preservative
201	Acer sterculiaceum	Wood
202	Acer tataricum	Preservative
203	Acer truncatum	Preservative
204	Acer ukurunduense caudatum	Preservative
205	Acer ukurunduense caudatum	Wood
206	Achillea millefolium	Compost
207	Achillea millefolium	Cosmetic
208	Achillea millefolium	Dye
209	Achillea millefolium	Essential
210	Achillea millefolium	Ground cover
211	Achillea millefolium	Hair
212	Achillea millefolium	Liquid feed
213	Achillea millefolium	Repellent
214	Achillea ptarmica	Essential
215	Achillea ptarmica	Hair
216	Achillea ptarmica	Miscellany
217	Achillea ptarmica	Repellent
218	Achillea santolina	Repellent
219	Achyranthes bidentata	Insecticide
220	Achyranthes faureri	Insecticide
221	Acinos arvensis	Ground cover
222	Aciphylla squarrosa	Gum
223	Aconitum columbianum	Parasiticide
224	Aconitum delphinifolium	Parasiticide
225	Aconitum maximum	Parasiticide
226	Aconitum septentrionale	Insecticide
227	Acorus calamus	Basketry
228	Acorus calamus	Incense
229	Acorus calamus	Insecticide
230	Acorus calamus	Repellent
231	Acorus calamus	Strewing
232	Acorus calamus	Thatching
233	Acorus calamus	Weaving
234	Acorus gramineus	Essential
235	Acorus gramineus	Ground cover
236	Acorus gramineus	Insecticide
237	Acorus gramineus	Repellent
238	Actaea spicata	Dye
239	Actaea spicata	Repellent
240	Actinidia callosa	Wood
241	Actinidia chinensis	Insecticide
242	Actinidia chinensis	Paper
243	Actinidia chinensis	Pencil
244	Actinidia deliciosa	Paper
245	Actinidia deliciosa	Pencil
246	Adenostoma fasciculatum	Adhesive
247	Adenostoma fasciculatum	Basketry
248	Adenostoma fasciculatum	Fuel
249	Adenostoma fasciculatum	Lighting
250	Adenostoma fasciculatum	Soil stabilization
251	Adiantum capillus-veneris	Hair
252	Adiantum pedatum	Basketry
253	Adiantum pedatum	Ground cover
254	Adiantum pedatum	Hair
255	Adiantum pedatum	Lining
256	Adiantum venustum	Ground cover
257	Aegopodium podagraria	Ground cover
258	Aesculus californica	Friction sticks
259	Aesculus californica	Soap
260	Aesculus californica	Wood
261	Aesculus chinensis	Soap
262	Aesculus chinensis	Wood
263	Aesculus flava	Soap
264	Aesculus flava	Wood
265	Aesculus glabra	Soap
266	Aesculus glabra	Wood
267	Aesculus hippocastanum	Dye
268	Aesculus hippocastanum	Soap
269	Aesculus hippocastanum	Starch
270	Aesculus hippocastanum	Tannin
271	Aesculus hippocastanum	Wood
272	Aesculus indica	Soap
273	Aesculus indica	Wood
274	Aesculus parviflora	Ground cover
275	Aesculus parviflora	Soap
276	Aesculus parviflora	Wood
277	Aesculus pavia	Soap
278	Aesculus pavia	Wood
279	Aesculus turbinata	Soap
280	Aesculus turbinata	Wood
281	Aesculus x carnea	Soap
282	Agathis robusta	Fibre
283	Agathis robusta	Resin
284	Agathis robusta	Wood
285	Agave americana	Fibre
286	Agave americana	Insecticide
287	Agave americana	Miscellany
288	Agave americana	Needles
289	Agave americana	Paper
290	Agave americana	Pins
291	Agave americana	Soap
292	Agave americana	Soil reclamation
293	Agave americana	Thatching
294	Agave parryi	Fibre
295	Agave parryi	Miscellany
296	Agave parryi	Needles
297	Agave parryi	Paper
298	Agave parryi	Pins
299	Agave parryi	Soap
300	Agave parryi	Thatching
301	Agave utahensis discreta	Brush
302	Agave utahensis discreta	Fibre
303	Agave utahensis discreta	Miscellany
304	Agave utahensis discreta	Needles
305	Agave utahensis discreta	Paper
306	Agave utahensis discreta	Pins
307	Agave utahensis discreta	Soap
308	Agave utahensis discreta	Thatching
309	Agave utahensis eborispina	Brush
310	Agave utahensis eborispina	Fibre
311	Agave utahensis eborispina	Miscellany
312	Agave utahensis eborispina	Needles
313	Agave utahensis eborispina	Paper
314	Agave utahensis eborispina	Pins
315	Agave utahensis eborispina	Soap
316	Agave utahensis eborispina	Thatching
317	Ageratum conyzoides	Essential
318	Agoseris glauca	Latex
319	Agrimonia eupatoria	Dye
320	Agropyron elongatum	Biomass
321	Agropyron elongatum	Soil reclamation
322	Ailanthus altissima	Dye
323	Ailanthus altissima	Hedge
324	Ailanthus altissima	Herbicide
