ID	Use	Description
1	Adhesive	Glues.
2	Alcohol	Used for fuel etc. (this is wood alcohol, it is not the sort that can be drunk.
3	Baby care	Various plants that can be used in place of items such as nappies.
4	Basketry	Plant used in making baskets and other items such as chairs. Includes plants that are only used as an ornamental addition.
5	Beads	Used as necklaces etc.
6	Bedding	Used as a lining for sleeping on or putting fruits etc on.
7	Besom	A type of broom.
8	Biomass	Provides a large quantity of plant material that can be converted into fuel etc.
9	Blotting paper	Plant that can be used to make blotting paper.
10	Bottles	Plants that can be used as bottles.
11	Broom	Used for sweeping the floor etc.
12	Brush	Used for cleaning clothes, as a paintbrush etc.
13	Buttons	Plants that can be used as buttons. Not including making buttons from wood.
14	Charcoal	Used for fuel, drawing, deodorant, filter, fertilizer etc.
15	Cleanser	For various materials. Perhaps best included under separate headings.
16	Compost	Plants used for activating compost heaps, providing biomass for composting, using as instant compost etc.
17	Containers	Plants, such as gourds, that can be used as containers. Does not include baskets or containers made from wood.
18	Cork	Including any plants used as a cork substitute. Cork is used for insulation (sound or heat), fire-retardant, bottle stops etc.
19	Cosmetic	Used to improve the physicalappearence of a person.
20	Cotton wool	Plants that can be used as substitutes for cotton wool.
21	Darning ball	
22	Deodorant	A pleasant smelling plant that is used on the body to mask the human smell.
23	Disinfectant	Plants used for disinfecting.
24	Dye	Plants that provide dyes.
25	Essential	Essential oils that are used in perfumery, medicines, paint solvents, insect repellents etc.
26	Fencing	Plants that can be used for fencing.
27	Fertilizer	Provides a concentrated solid plant food.
28	Fibre	Used for making cloth, rope, paper etc.
29	Filter	Used to strain out particles from liquids.
30	Fire retardant	Plants that do not easily burn and can be used in barrier plantings to limit the spread of forest fires.
31	Friction sticks	Used for starting fires when there are no matches.
32	Fruit ripening	Substances that promote the premature or rapid ripening of fruits.
33	Fuel	Usually wood, plant materials that have been mentioned as being a good fuel.
34	Fungicide	Arrests the growth of, or kills, fungi.
35	Furniture	A few miscellaneous uses that do not fit easily into other headings.
36	Green manure	Fast-growing plants that can be used to increase the fertility of the soil.
37	Ground cover	Usually low growing plants that can be grown with other plants, especially shrubs and trees, to prevent the growth of weeds.
38	Gum	Gums have a wide range of uses, especially as stabilizers, emulsifiers, thickening agents, adhesives etc.
39	Hair	Plants used as hair shampoos, tonics, to treat balding etc.
40	Hedge	Plants that can be grown as hedges.
41	Herbicide	Plants or plant extracts that can inhibit the growth of other plants.
42	Incense	Aromatic plants that can be burnt to impart a pleasant smell, repel insects and disinfect closed areas.
43	Ink	Plants that can be used as an ink.
44	Insecticide	Kills insects.
45	Insulation	Providing insulation against extremes of temperature, sound or electricity.
46	Kindling	Plant material that burns easily and can be used for starting fires.
47	Lacquer	A type of varnish.
48	Latex	A source of rubber.
49	Leather	Substitutes, that is.
50	Lighting	Plants that can be used as torches etc. See also Oil and Wax.
51	Lining	Used for lining boxes, baskets etc so that fragile items can be more safely carried in them.
52	Liquid feed	Plants that can be used to make a liquid fertilizer.
53	Litmus	Used for testing whether a substance is acid or alkaline.
54	Microscope	
55	Miscellany	A rag-bag of items that are difficult to categorise.
56	Mordant	Used for making a dye more permanent, it also affects the colour of the dye.
57	Mulch	Used for covering the ground to conserve the nutrients in the soil.
58	Musical	Specific mention of plants used as musical instruments. Does not include the various woods that can be used for making musical instruments.
59	Nails	A few woods are tough enough to be used in place of metal nails in certain circumstances.
60	Needles	Used for sewing, darning etc.
61	Oil	Vegetable oils have many uses, as lubricants, lighting, soap and paint making, waterproofing etc. This does not include the edible oils unless they are also mentioned as having other uses.
62	Packing	Used as a filler in boxes etc in order to protect the contents.
63	Paint	Plants used directly as a paint. Does not include oil plants and dyes that can be used as ingredients in paints.
64	Paper	Related to the entry for Fibre, these plants have been specifically mentioned for paper making.
65	Parasiticide	Kills external body parasites such as hair lice.
66	Pectin	A substance that is used to thicken jams etc and as a culture medium in laboratories.
67	Pencil	A couple of plants especially mentioned for making the tubes that pencil leads fit into.
68	Pins	Used as needles and pins in sewing etc. Also used to lance boils, extract splinters from the skin etc.
69	Pioneer	Plants, usually trees and shrubs, that can be used to reforest land.
70	Pipes	For carrying water etc.
71	Pitch	Used for waterproofing, in paints etc.
72	Plant breeding	Used in producing new species of plants or improved varieties.
73	Plant support	Usually bamboos, used as canes in the garden for holding up plants.
74	Plaster	Used for covering walls.
75	Polish	Plants used to give a shine to metals, wood etc.
76	Pollution	Plants used to combat pollution.
77	Porcelain	
78	Pot-pourri	Aromatic plants used to impart a pleasant smell to an area. Can this be grouped with incense or essential oil?
79	Potash	Used for making glass, soap and as a fertilizer.
80	Preservative	For food, or for treating wood, ropes etc.
81	Raffia	A substitute for that material.
82	Repellent	Plants that are said to deter but not necessarily kill various mammals, birds, insects etc.
83	Resin	Used in perfumery, medicines, paints, soap making etc. This also includes turpentine, which is extracted from many resins and used as a preservative, water proofer etc,
84	Roofing	Used to give a waterproof roof to buildings. See also Thatching.
85	Rooting hormone	Substances that can be used to promote the production of roots in plant cuttings.
86	Rootstock	Plants used as the rootstock for grafting scions onto.
87	Rust	Plants that can be used to prevent or treat rust.
88	Sandpaper	Plants used to smooth rough wooden surfaces by means of abrasion.
89	Scourer	Used for cleaning pots, pans, plates etc.
90	Shelterbelt	Wind resistant plants than can be grown to provide shelter in the garden etc.
91	Size	Used on materials, paper etc to give a surface that will take ink, dyes etc.
92	Soap	Plants used directly as a soap substitute.
93	Soap making	Plants used as an ingredient in making soaps. Does not include the essential oils, dyes and oils that are also used in making soap.
94	Soil conditioner	Plants grown to improve the structure of the soil. See also Green manures.
