ID	latin_name	pest
1	Abelia sp.	Seldom Severely Damaged by deer
2	Abies balsamea	Occasionally Severely Damaged by deer
3	Abies balsamea	Seldom Severely Damaged by deer
4	Abies concolor	Occasionally Severely Damaged by deer
5	Abies fraseri	Occasionally Severely Damaged by deer
6	Acer argutum	Seldom Severely Damaged by deer
7	Acer palmatum	Seldom Severely Damaged by deer
8	Acer pensylvanicum	Seldom Severely Damaged by deer
9	Acer platanoides	Occasionally Severely Damaged by deer
10	Acer rubrum	Seldom Severely Damaged by deer
11	Acer saccharinum	Occasionally Severely Damaged by deer
12	Acer saccharum	Seldom Severely Damaged by deer
13	Achillea filipendulina	Seldom Severely Damaged by deer
14	Achillea millefolium	Seldom Severely Damaged by deer
15	Aconitum sp. 	Rarely Damaged by deer
16	Acorus sp.	Rarely Damaged by deer
17	Aegopodium podagaria	Rarely Damaged by deer
18	Aesculus hippocastanum	Occasionally Severely Damaged by deer
19	Aesculus parviflora	Rarely Damaged by deer
20	Aesculus x carnea	Seldom Severely Damaged by deer
21	Agapanthus sp.	Seldom Severely Damaged by deer
22	Agastache sp.	Rarely Damaged by deer
23	Ageratum houstonianum	Rarely Damaged by deer
24	Ajuga reptans	Rarely Damaged by deer
25	Albizia julibrissin	Rarely Damaged by deer
26	Alcea sp.	Occasionally Severely Damaged by deer
27	Alchemilla alpina	Seldom Severely Damaged by deer
28	Alchemilla mollis 	Seldom Severely Damaged by deer
29	Alchemilla sp.	Seldom Severely Damaged by deer
30	Alchemilla xanthochlora	Seldom Severely Damaged by deer
31	Allium acuminatum	Rarely Damaged by deer
32	Allium akaka	Rarely Damaged by deer
33	Allium altaicum	Rarely Damaged by deer
34	Allium ampeloprasum	Rarely Damaged by deer
35	Allium angulare	Rarely Damaged by deer
36	Allium angulosum	Rarely Damaged by deer
37	Allium atropurpureum	Rarely Damaged by deer
38	Allium bisceptrum	Rarely Damaged by deer
39	Allium bolanderi	Rarely Damaged by deer
40	Allium brevistylum	Rarely Damaged by deer
41	Allium canadense	Rarely Damaged by deer
42	Allium canadense mobilense	Rarely Damaged by deer
43	Allium carolinianum	Rarely Damaged by deer
44	Allium cepa	Roatate, Separate overwintered and spring crops to avoid botrytis and downy mildew.
45	Allium cepa	Rarely Damaged by deer
46	Allium cepa aggregatum	Rarely Damaged by deer
47	Allium cepa ascalonicum	Rarely Damaged by deer
48	Allium cepa proliferum	Rarely Damaged by deer
49	Allium cernuum	Rarely Damaged by deer
50	Allium chinense	Rarely Damaged by deer
51	Allium condensatum	Rarely Damaged by deer
52	Allium cupanii	Rarely Damaged by deer
53	Allium douglasii	Rarely Damaged by deer
54	Allium dregeanum	Rarely Damaged by deer
55	Allium drummondii	Rarely Damaged by deer
56	Allium fistulosum	Rarely Damaged by deer
57	Allium galanthum	Rarely Damaged by deer
58	Allium geyeri	Rarely Damaged by deer
59	Allium giganteum	Rarely Damaged by deer
60	Allium grayi	Rarely Damaged by deer
61	Allium hookeri	Rarely Damaged by deer
62	Allium kunthii	Rarely Damaged by deer
63	Allium kurrat	Rarely Damaged by deer
64	Allium ledebourianum	Rarely Damaged by deer
65	Allium macleanii	Rarely Damaged by deer
66	Allium macropetalum	Rarely Damaged by deer
67	Allium macrostemon	Rarely Damaged by deer
68	Allium moly	Rarely Damaged by deer
69	Allium monanthum	Rarely Damaged by deer
70	Allium mutabile	Rarely Damaged by deer
71	Allium neapolitanum	Rarely Damaged by deer
72	Allium obliquum	Rarely Damaged by deer
73	Allium oleraceum	Rarely Damaged by deer
74	Allium orientale	Rarely Damaged by deer
75	Allium oschaninii	Rarely Damaged by deer
76	Allium paradoxum	Rarely Damaged by deer
77	Allium pendulinum	Rarely Damaged by deer
78	Allium platycaule	Rarely Damaged by deer
79	Allium porrum	Rarely Damaged by deer
80	Allium przewalskianum	Rarely Damaged by deer
81	Allium ramosum	Rarely Damaged by deer
82	Allium roseum	Rarely Damaged by deer
83	Allium rubellum	Rarely Damaged by deer
84	Allium rubrum	Rarely Damaged by deer
85	Allium ruhmerianum	Rarely Damaged by deer
