ID	latin_name	cultivar
1	Allium schoenoprasum	
2	Achillea millefolium	
3	Corylus avelana	
4	Amelanchier Alnifolia	
5	Ginkgo biloba	
6	Ficus carica	
7	Cornus kousa	
8	Hemerocallis lillioasphodelus	
9	Arctostaphylos uvaursi	
10	Camelia japonica	
11	Imperata cylindrica	
12	Origanum vulgare	
13	Alium schoenoprasum	
14	Cornus canadensis	
15	Arbutus unedo	
16	Gautheria shallon	
17	Asclepia incarnqata	
18	Phormium Tenax	
19	Asparagus officinalis	
20	Origanum Vulgare	
21	Actinidia deliciosa	
22	Rosa rugosa	
23	Elaeagnus multiflora ovatum	
24	Rubus idaeus	
25	Laurus nobilis	
26	Mahonia aquifolium	
27	Fagus sylvatica	
28	Mahonia nervosa	
29	Mahonia x media	
30	Abies balsameanana	
31	Lavandula angustifolia	
32	Hibiscus syriacus	
33	Hydrangea macrophylla	
34	Hydrangea serrata	
35	Myrtus communis	
36	Malus Domestica	
37	Prunus domestica	
38	Hamamelis virginiana	
39	Claytonia perfoliata	
40	Pinus cembra	
41	Elaeagnus umbellata	
42	Ribes uva-crispa	
43	Rhus aromatica	
44	Thymus psedoklnuginosus	
45	Rosmarinus officinalis	
46	Prunus armeniaca	
47	Prunus laurocerasus	
48	Rheum palmatum	
49	Trifolium incarnatum	
50	Quercus macrocarpa	
51	Quercus robur	
52	Vaccinium corymbosum	
53	Vaccinium macrocarpon	
54	Salvia officinalis	
55	Gaultheria procumbens	
56	Abies balsamea	
57	Elaeagnus x ebbingei	
58	Prunus lusitanica	
59	Sambucus nigra	
60	Vaccinium ovatum	
61	Prunus avivum	
62	Viola cornuta	
63	Vaccinium vitis-idaea	
64	Taxus baccata	
65	Taxus x media	'Hicksii'
66	Taxus x media	'HM Eddie'
67	Yucca filamentosa	
68	Viburnum x bodnantense	
