plot_plant_id	availability_id	id	quantity
194	2646	0	
193	2688	1	
194	2646	2	
195	1840	3	
196	84	4	
197	1863	5	
199	3342	6	
200	2631	7	
201	2713	8	
202	3720	9	
203	2684	10	
205	3278	12	
207	842	13	
208	3820	14	
209	3697	15	
210		16	
211	3801	17	
209		18	
209	3698	19	
209	3697	20	
210	3798	21	
211	3801	22	
212	1281	23	
213	2088	24	
468	3202	25	
472	146	26	
473	3201	27	
474	3433	28	
475	945	29	
484	1035	30	
489	4204	31	
491	6314	32	
492	2138	33	
495	6188	34	
496	242	35	
498	2851	36	
499	2144	37	
500	933	38	
501	6099	39	
503	2811	40	
503	2813	42	
504	1995	43	
505	0	44	
506	2731	45	
508	4205	46	
510	3790	47	
512	2817	48	
516	571	49	
517	4114	50	
518	2071	51	
519	4156	52	
520	1046	53	
521	523	54	
523	530	55	
524	949	56	
529	116	57	
530	536	58	
531	3446	59	
533	3457	60	
536	3470	61	
537	1149	62	
538	714	63	
539	5669	64	
540	5676	65	
542	2159	66	
946	226	67	23
959	6786	69	4
960	530	71	60
964	6594	72	1
964	6326	73	1
964	2827	74	1
967	1135	75	1
969	1132	76	1
974	1083	77	1
975	2851	78	3
979	6479	79	4
988	2648	80	10
996	1042	81	1
998	1076	82	1
1004	2974	83	69
1010	1055	84	1
1012	6178	85	1
1023	6181	86	1
1029	1134	87	1
1030	116	88	24
1036	6463	90	6
1044	1066	91	1
1049	6627	92	1
1052	6144	93	1
1052	6571	94	1
1056	2678	95	33
1058	6122	96	1
1072	2684	97	1
1077	86	98	8
1080	6351	99	15
1081	2768	100	5
1081	6350	101	5
1082	285	102	8
1090	536	103	14
1092	3278	107	1
1108	65	108	2
1109	3362	109	4
1109	3362	110	5
1111	1141	111	1
1117	1069	112	1
1119	6762	113	2
1121	804	114	1
1123	6763	115	1
1124	983	116	2
1127	74	117	15
1128	76	118	2
1130	977	119	3
1132	3458	120	3
1142	68	121	4
1144	6306	122	13
1147	851	123	1
1152	6534	124	2
1155	949	125	43
1156	6622	126	2
1161	3540	127	1
1162	6340	128	2
1175	6579	131	1
1184	6309	133	1
1184	6310	134	1
1190	1059	135	1
1192	523	136	1
1197	6113	137	7
1198	3677	138	1
1199	6423	139	7
1206	6592	140	2
1220	3710	141	1
1230	6595	142	2
1233	1062	143	1
1236	6173	144	12
1239	6789	145	4
1243	6345	146	20
1248	914	147	4
1254	3795	148	3
1257	3801	149	11
1259	959	150	2
1264	6790	151	1
1297	805	153	2
1297	515	154	2
1274	1036	155	1
1280	6706	156	5
1280	6630	157	1
1281	6470	158	1
1282	2970	160	1
1283	1128	161	1
1284	6792	162	1
1284	3489	163	3
1284	3490	164	3
1285	958	165	5
1286	6758	166	2
1289	6521	168	1
1290	6484	169	1
1294	3065	170	1
1295	3056	171	1
1316	222	212	2
1316	223	213	2
1316	224	214	3
1316	225	215	3
1316	226	216	2
1316	2806	217	2
1298	530	218	11
1331	1132	219	1
1321	2845	220	16
1324	1083	221	1
1315	2648	222	11
1330	6791	223	0
1329	1076	224	0
1327	2973	225	33
1323	6181	226	0
1332	6630	227	0
1299	3064	228	1
1326	116	229	4
1300	2711	230	1
1300	6161	231	1
1333	1066	232	0
1318	1088	233	0
1318	3139	234	1
1318	3140	235	1
1318	3141	236	1
1307	6453	237	1
1319	86	238	2
1312	285	239	1
1320	536	240	11
1306	6329	241	1
1306	2750	242	1
1306	2749	243	1
1308	3362	244	3
1308	3367	245	3
1311	3407	246	1
1322	74	247	3
1325	3489	248	1
1325	3490	249	1
1325	6792	250	0
1302	6340	251	1
1303	6124	252	1
1303	6578	253	1
1304	825	254	1
1310	3695	255	1
1314	2667	256	1
1317	3789	257	2
1313	3795	258	1
1305	3801	259	3
1305	535	260	3
1305	6281	261	3
1309	959	262	1
1328	1003	263	1
1334	1036	264	1
1301	6489	265	1
120		266	
1336	3044	267	1
356	64	268	1
1498	3201	269	18
1589	993	270	4
1589	6321	271	1
1591	6914	272	2
1654	6314	273	3
1645	6363	274	1
1645	6364	275	3
2223	5931	276	1
