id	plot	latin_name	priority	sited	bed	quantity	cultivar	notes
2557	Everything Edible Landscaping	Claytonia perfoliata		TRUE	12			
2558	Everything Edible Landscaping	Cornus kousa		FALSE				
2559	Everything Edible Landscaping	Brassica oleracea italica		FALSE				
2560	Everything Edible Landscaping	Arctostaphylos columbiana		FALSE				
2561	Everything Edible Landscaping	Arctostaphylos nevadensis		FALSE				
2562	Everything Edible Landscaping	Arctostaphylos uva-ursi		FALSE				
2563	Everything Edible Landscaping	Berberis verruculosa		FALSE				
2564	Everything Edible Landscaping	Buxus microphylla		FALSE				
2565	Everything Edible Landscaping	Calluna vulgaris		FALSE				
2566	6411 Sooke Rd.	Mahonia aquifolium	15	0				
2567	6411 Sooke Rd.	Phormium tenax		0				
2569	6411 Sooke Rd.	Fuchsia coccinea		0				
2570	6411 Sooke Rd.	Mahonia aquifolium	15	0				
2571	Everything Edible Landscaping	Linum usitatissimum		FALSE	63	0		
2572	Poirier	Heracleum sphondylium montanum		FALSE		0		
2573	Poirier	Ribes sanguineum		FALSE		0		
2574	Poirier	Plantago major		FALSE		0		
2575	Poirier	Taraxacum officinale		FALSE		0		
2576	Poirier	Salvia officinalis		FALSE		0		
2577	Poirier	Acer macrophyllum		FALSE		0		
2578	Poirier	Rubus bifrons		FALSE		0		
2579	Poirier	Rubus ursinus		FALSE		0		
2580	Poirier	Rumex acetosella		FALSE		0		
2581	Poirier	Trifolium repens		FALSE		0		
2582	Poirier	Alnus rubra		FALSE		0		
2583	Poirier	Rubus spectabilis		FALSE		0		
2584	Poirier	Cytisus scoparius		FALSE		0		
2585	Poirier	Medicago lupulina		FALSE		0		
2586	Poirier	Pseudotsuga menziesii		FALSE		0		
2587	Poirier	Pteridium aquilinum		FALSE		0		
2588	Poirier	Cerastium fontanum		FALSE		0		
2589	Poirier	Lavandula stoechas		FALSE		0		
2590	Poirier	Fragaria bracteata		FALSE		0		
2591	Poirier	Betula papyrifera		FALSE		0		
2592	Poirier	Arctium lappa		FALSE		0		
2593	Poirier	Matricaria matricarioides		FALSE		0		
2594	6411 Sooke Rd.	Mahonia aquifolium	15	0			.	
2595	6411 Sooke Rd.	Phormium tenax		0			.	
2597	6411 Sooke Rd.	Fuchsia coccinea		0			.	
2598	6411 Sooke Rd.	Mahonia aquifolium	15	0			.	
2600	6411 Sooke Rd.	Acca sellowiana	1	FALSE	45			
2602	6411 Sooke Rd.	Acer macrophyllum			26	0		
2603	6411 Sooke Rd.	Acer macrophyllum	14		43	0		
2604	6411 Sooke Rd.	Acer macrophyllum			21	0		
2605	6411 Sooke Rd.	Achillea millefolium	14	FALSE		0		
2606	6411 Sooke Rd.	Actinidia deliciosa			4	0		
2607	6411 Sooke Rd.	Actinidia deliciosa	15	FALSE				
2608	6411 Sooke Rd.	Akebia quinata		FALSE				
2609	6411 Sooke Rd.	Akebia quinata		1	45	3		
2610	6411 Sooke Rd.	Allium sativum	15	FALSE				
2611	6411 Sooke Rd.	Allium schoenoprasum	15	FALSE				
2613	6411 Sooke Rd.	Aralia racemosa		FALSE				
2614	6411 Sooke Rd.	Araucaria araucana	15	FALSE				
2615	6411 Sooke Rd.	Araucaria araucana			45	0		
2616	6411 Sooke Rd.	Arbutus unedo		FALSE	45			
2617	6411 Sooke Rd.	Arbutus unedo	15	FALSE				
2618	6411 Sooke Rd.	Arbutus unedo			2	4		
2619	6411 Sooke Rd.	Arctium lappa				0		
2620	6411 Sooke Rd.	Artemisia vulgaris	15			0		
2621	6411 Sooke Rd.	Asarum caudatum	15	FALSE				
2622	6411 Sooke Rd.	Asarum caudatum			67	0		
2623	6411 Sooke Rd.	Asparagus officinalis	15	FALSE				
2624	6411 Sooke Rd.	Barbarea verna	14	FALSE		0		
2625	6411 Sooke Rd.	Brassica oleracea	14	FALSE				
2626	6411 Sooke Rd.	Calendula officinalis	15		2	0		
2627	6411 Sooke Rd.	Calendula officinalis			2	1		
2628	6411 Sooke Rd.	Camassia quamash	15	FALSE				
2629	6411 Sooke Rd.	Camellia japonica	15		46	0		
2630	6411 Sooke Rd.	Camellia sinensis						
2631	6411 Sooke Rd.	Castanea dentata		FALSE				
2632	6411 Sooke Rd.	Claytonia perfoliata			64	12		
2633	6411 Sooke Rd.	Claytonia perfoliata	14	FALSE				
2634	6411 Sooke Rd.	Claytonia sibirica		FALSE				
2635	6411 Sooke Rd.	Clinopodium nepeta			18	1		
2636	6411 Sooke Rd.	Cornus kousa	15	1	33			
2637	6411 Sooke Rd.	Corylus avellana		1	39	1		week 7-8 Bloom and pollen
2638	6411 Sooke Rd.	Corylus avellana		TRUE	19	1		week 7-8 bloom
2639	6411 Sooke Rd.	Corylus avellana	15	FALSE	53	1		
2640	6411 Sooke Rd.	Corylus avellana			38	1		
2641	6411 Sooke Rd.	Crocus vernus	0	FALSE	45			
2642	6411 Sooke Rd.	Cucurbita maxima		TRUE	50	0		
2643	6411 Sooke Rd.	Cucurbita pepo		TRUE	25	0		
2644	6411 Sooke Rd.	Cyclamen hederifolium	0	FALSE	45			
2645	6411 Sooke Rd.	Dahlia pinnata		1	11	0		
2646	6411 Sooke Rd.	Daucus carota	15	FALSE	45			
2647	6411 Sooke Rd.	Elaeagnus multiflora		FALSE				
2648	6411 Sooke Rd.	Elaeagnus umbellata	14	FALSE				
2649	6411 Sooke Rd.	Ficus carica	15	FALSE				
2650	6411 Sooke Rd.	Foeniculum vulgare	15	FALSE				
2651	6411 Sooke Rd.	Fragaria chiloensis			28	10		
2652	6411 Sooke Rd.	Fragaria chiloensis			2	30		
2653	6411 Sooke Rd.	Fragaria vesca	15	FALSE	45			
2654	6411 Sooke Rd.	Fragaria x ananassa	15	FALSE				
2655	6411 Sooke Rd.	Fragaria x ananassa			51	0		
2656	6411 Sooke Rd.	Fragaria x ananassa		FALSE	45			
2657	6411 Sooke Rd.	Fragaria x ananassa			44	0		
2658	6411 Sooke Rd.	Fragaria x ananassa			18	0		
2659	6411 Sooke Rd.	Fuchsia coccinea		0			.	
2660	6411 Sooke Rd.	Fuchsia magellanica	15		48	1		
2661	6411 Sooke Rd.	Gaultheria procumbens		FALSE				
2662	6411 Sooke Rd.	Gaultheria procumbens	1	FALSE				
2663	6411 Sooke Rd.	Gaultheria shallon	15		2	12		
2664	6411 Sooke Rd.	Geranium robertianum	15	FALSE	45			
2665	6411 Sooke Rd.	Geum macrophyllum			53			
2666	6411 Sooke Rd.	Geum macrophyllum			38			
2667	6411 Sooke Rd.	Helianthus annuus		TRUE	32	11		
2668	6411 Sooke Rd.	Helianthus tuberosus			4	0		
2669	6411 Sooke Rd.	Helianthus tuberosus	15	FALSE				
2670	6411 Sooke Rd.	Helianthus tuberosus	1	FALSE	45			
2671	6411 Sooke Rd.	Heracleum sphondylium montanum	14	FALSE		0		
2672	6411 Sooke Rd.	Hesperis matronalis	15		63	0		
2673	6411 Sooke Rd.	Holodiscus discolor		FALSE				
2674	6411 Sooke Rd.	Humulus lupulus	15			0		
2675	6411 Sooke Rd.	Hyacinthoides nonscripta	15	FALSE	45			
2676	6411 Sooke Rd.	Hypericum perforatum		FALSE				
2677	6411 Sooke Rd.	Inula helenium			22	1		
2678	6411 Sooke Rd.	Inula helenium	15			0		
2679	6411 Sooke Rd.	Juglans cinerea			38	1		
2680	6411 Sooke Rd.	Juglans regia	15	1				
2681	6411 Sooke Rd.	Lapsana communis			16	0		
2682	6411 Sooke Rd.	Lavandula stoechas			2	1		
2683	6411 Sooke Rd.	Leonurus cardiaca		FALSE				
2684	6411 Sooke Rd.	Leucanthemum vulgare	14	FALSE	45			
2685	6411 Sooke Rd.	Levisticum officinale			9	1		
