ID	Latin name	Britain	Europe	Mediterranean	W Asia	E Asia	N America	S America	Africa	Australasia	Other
1	Abelia triflora					I					
2	Abelmoschus esculentus										0
3	Abelmoschus manihot					C				A	
4	Abelmoschus moschatus					CH					
5	Abies alba		0								
6	Abies amabilis						NW				
7	Abies balsamea						E				
8	Abies cephalonica		0								
9	Abies concolor						WS				
10	Abies delavayi					CBH					
11	Abies firma					J					
12	Abies fraseri						ES				
13	Abies grandis						W				
14	Abies homolepis					J					
15	Abies lasiocarpa						W				
16	Abies magnifica						WS				
17	Abies mariesii					J					
18	Abies nordmanniana				0						
19	Abies pindrow					I					
20	Abies procera	I					W				
21	Abies recurvata					C					
22	Abies religiosa						WS				
23	Abies sachalinensis					J					
24	Abies sibirica		0			CS					
25	Abies spectabilis					I					
26	Abies squamata					C					
27	Abies veitchii					J					
28	Abies veitchii sikokiana					J					
29	Abobra tenuifolia							0			
30	Abronia fragrans						WS				
31	Abronia latifolia						WS				
32	Abronia turbinata							WS			
33	Abronia villosa							WS			
34	Abutilon species										0
35	Abutilon megapotamicum							0			
36	Abutilon ochsenii							Ch			
37	Abutilon pictum							0			
38	Abutilon purpurascens							0			
39	Abutilon theophrasti		0	0							
40	Abutilon vitifolium							0			
41	Abutilon x hybridum										0
42	Abutilon x milleri										0
43	Abutilon x suntense										None
44	Acacia aneura									A	
45	Acacia coriacea									A	
46	Acacia cultriformis									A	
47	Acacia dealbata		0							A	
48	Acacia decurrens									A	
49	Acacia farnesiana						ES	N			
50	Acacia longifolia									A	
51	Acacia melanoxylon		0							A	
52	Acacia mucronata									A	
53	Acacia paradoxa									A	
54	Acacia podalyriifolia									A	
55	Acacia pycnantha									A	
56	Acacia retinodes		0							A	
57	Acacia saligna									A	
58	Acacia sophorae									A	
59	Acacia verticillata									A	
60	Acaenia anserinifolia	I								AN	
61	Acalypha australis					CJ					
62	Acanthus mollis	I	0								
63	Acca sellowiana							0			
64	Acer acuminatum					I					
65	Acer argutum					J					
66	Acer caesium					CI					
67	Acer campestre	0	1	1	1						
68	Acer carpinifolium					J					
69	Acer circinatum						W				
70	Acer crataegifolium					J					
71	Acer distylum					J					
72	Acer ginnala					CJ					
73	Acer glabrum						W				
74	Acer interius						NE				
75	Acer macrophyllum						W				
76	Acer mono					CJKM					
77	Acer negundo						0				
78	Acer oblongum					CI					
79	Acer palmatum					J					
80	Acer pensylvanicum						E				
81	Acer platanoides	I	0	1	1						
82	Acer pseudoplatanus	I	0								
83	Acer rubrum						E				
84	Acer saccharinum						E				
85	Acer saccharum						E				
86	Acer saccharum grandidentatum						W				
87	Acer saccharum nigrum						E				
88	Acer spicatum						E				
89	Acer sterculiaceum					I					
90	Acer tataricum		0		0						
91	Acer truncatum					CK					
92	Acer ukurunduense caudatum					I					
93	Achillea ageratum		0								
