latin_name	start_month	start_day	end_month	end_day	practice	detail	phenological_event	Common_name
Cucurbita pepo	4	21	5	14	sew seed	indoors in a rich soil. Sow 2 or 3 seeds per pot and thin out to the best plant..		Zucchini, cougette, pumpkin
Ocimum basilicum	4	15	5	15	sew indoors			Sweet Basil
Cucurbita maxima	4	15	5	15	sew seed	in a greenhouse in a rich soil. Germination should take place within 2 weeks. Sow 2 or 3 seeds per pot and thin out to the best plant. 		Winter Squash
Ocimum basilicum	4	15	5	15	sew seed	under cover 		Sweet Basil
Origanum vulgare	4	15	5	15	transplant			Oregano
Rosmarinus officinalis	4	15	5	15	transplant			Rosemary
Allium schoenoprasum	5	1	5	15	transplant			Chives
Salvia officinalis	4	15	5	15	transplant			Sage
Thymus vulgaris	4	15	5	15	transplant			Common Thyme
Malus domestica	5	14	5	21	band trunk with sticky paste lkike tangle foot			Apple
Malus domestica	5	14	5	21	hang pheremone traps for codling moth			Apple
Salvia officinalis	5	1	5	28	cuttings of heeled shoots	taken off the stem in May and planted out directly into the garden grow away well[182].		Sage
Yucca filamentosa	3	1	5	28	harvest flowering stem	 - cooked and used like asparagus[164].		Spoonleaf Yucca
Yucca filamentosa	4	1	5	28	harvest root	root Lift and remove small buds from base of stem and rhizomes. Dip in dry wood ashes to stop any bleeding and plant in a sandy soil in pots in a greenhouse until established.	late winter to early spring	Spoonleaf Yucca
Salix babylonica	5	1	5	28	harvest seeds			Weeping Willow
Yucca filamentosa	4	1	5	28	lift and remove small bulbs			Spoonleaf Yucca
Pisum sativum	2	15	5	28	sew seed	Direct every 3 weeks		Garden Pea
Helianthus annuus	3	1	5	28	sew seed	direct		Sunflower
Borago officinalis	4	1	5	28	sew seed	Seed - sow April/May in situ.		Borage
Rosa rugosa	3	21	5	28	transplant			Ramanas Rose
Rosa nutkana	3	21	5	28	transplant			Nootka Rose
Solanum lycopersicum	5	1	5	28	transplant and cover	add 1/4 cup wood ash		Tomato, Garden Tomato
Pisum sativum	4	15	5	30	mark seeds for saving		mid spring	Garden Pea
Gaultheria shallon	4	15	5	30	prune	remove dead and damaged growth	mid spring	Salal
Papaver orientale	12	21	5	30	sew seed	direct	winter to mid spring	Oriental Poppy
Lupinus nootkatensis	4	15	5	30	sew seed	sow the seed outdoors in situ in the middle of spring. It might be necessary to protect this sowing from mice.	mid spring	Blue Lupine
Prunella vulgaris	4	15	5	30	sew seed	in a cold frame	mid spring	Self-Heal
Petroselinum crispum	4	15	5	30	sew seed	in situ	mid spring	Parsley
Asparagus officinalis	2	15	6	15	sew indoors	51		Asparagus
Brassica oleracea	3	7	6	15	sew seed	indoors. 3 or 4 seeds per pot. 0.5 cm deep under very bright light.		Kale
Rosmarinus officinalis	3	21	6	21	cuttings of young shoots	in spring in a frame[15]. They usually root well within 3 weeks	spring	Rosemary
Leucanthemum vulgare	3	21	6	21	cuttings, basal	about 10cm long with plenty of underground stem. Pot and keep in light shade in a cold frame or greenhouse.	spring	Ox-Eye Daisy
